Everybody,Logic
Can't Have Everything,Drake
Dancing On My Own,Calum Scott
Make Me (Cry),Noah Cyrus Featuring Labrinth
Call On Me,Starley
Chantaje,Shakira Featuring Maluma
Happier,Ed Sheeran
Human,Rag'n'Bone Man
Eraser,Ed Sheeran
Sober Saturday Night,Chris Young Featuring Vince Gill
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld
Play That Song,Train
Free Smoke,Drake
Believer,Imagine Dragons
Since Way Back,Drake Featuring PARTYNEXTDOOR
Guys My Age,Hey Violet
All Time Low,Jon Bellion
Jump Out The Window,Big Sean
Bounce Back,Big Sean
Fake Love,Drake
Beauty And The Beast,Ariana Grande
iSpy,KYLE Featuring Lil Yachty
Million Reasons,Lady Gaga
80s Mercedes,Maren Morris
The One,The Chainsmokers
Halfway Off The Balcony,Big Sean
Wanna Be That Song,Brett Eldredge
You're Welcome,Dwayne “The Rock” Johnson
Portland,Drake Featuring Quavo & Travis Scott
24K Magic,Bruno Mars
Teenage Fever,Drake
OTW,DJ Luke Nasty
