Source (A),Source (B),Source (C),Source (D),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0 to 100 / The Catch Up,Drake,"   Fuck bein' on some chill shit We go 0 to 100, nigga, real quick They be on that rap-to-pay-the-bill shit And I don't feel that shit, not even a little bit Oh Lord, know yourself, know your worth, nigga My actions been louder than my words, nigga How you so high, but still so down to Earth, nigga If niggas wanna do it, we can do it on they turf, nigga Oh Lord, I'm the rookie and the vet Shoutout to the bitches out here holdin' down the set All up in my phone, lookin' at pictures from the other night She gon' be upset if she keep scrollin' to the left, dawg She gon' see some shit that she don't wanna see She ain't ready for it If I ain't the greatest then I'm headed for it That mean I'm way up  The 6 ain't friendly but that's where I lay up This shit a mothafuckin' lay up I been Steph Curry with the shot Been cookin' with the sauce, Chef Curry with the pot, boy 360 with the wrist, boy Who the fuck them niggas is, boy? OVO, man we really with the shits, boy Yeah, really with the shits I should prolly sign to Hit-Boy cause I got all the hits, boy Fuck all that ""Drake you gotta chill"" shit I be on my Lil Mouse drill shit Fuck all that rap-to-pay-your-bill shit I'm on some Raptors-pay-my-bills shit All up on TV, I thought it'd make me richer Wasn't payin' me enough, I needed somethin' quicker So now I'm all in Niko's basement puttin' work in on the phones Either that or drive to Money Mart to make the pickups Man it's 2008, I'm tryna paint the picture Comeback Season in the works and now I'm thinkin' bigger I got 40 in the studio, every night, late night Gotta watch that shit, don't want to make him sicker That's my nigga Oh Lord, got a whole lot to show for it I mean we can really get it, we can go for it I'm just here for the bucks and the billis, nigga Don't make me kill one of the GOATs for it I run this shit, they like ""Go Forrest Run Forrest, run Forrest, go Forrest"" Yeah, I mean you already wrote for us Damn, nigga, what's one more quote for us? Oh Lord, who else soundin' like this? They ain't make me what I am, they just found me like this I was ready... fuck that, I've been ready Since my dad used to tell me he was comin' to the house to get me He ain't show up Valuable lesson, man I had to grow up That's why I never ask for help I'll do it for you niggas and do it for myself  I go 0 to 100, nigga, real quick Real quick, whole squad on that real shit 0 to 100, nigga, real quick Real quick, real fuckin' quick, nigga 0 to 100, nigga, real quick Real quick, whole squad on that real shit 0 to 100, nigga, real quick Real quick, real fuckin' quick, nigga   Whole squad on that real shit Whole squad on that real shit Whole squad on that real shit  The other night, Lavish Lee told me that I'm all these people listen to She said they love me unconditional Imagine how it feel to watch another nigga at the top You know that if you wasn't you, you would be dissin' you, dawg Damn, okay, from that perspective I see what you're talkin' 'bout, no way to soften that Cause me, I was tryna find out where I lost 'em at But maybe I ain't lose 'em at all Maybe I keep movin' forward and they're just stagnant, they ain't movin' at all But when they need a favor, who do they call? Maybe I'm searchin' for the problems, askin' what was said and who was involved Too focused on people's feedback and provin' 'em wrong They say the shoe can always fit, no matter whose foot it's on These days feel like I'm squeezin' in 'em Whoever wore 'em before just wasn't thinkin' big enough I'm 'bout to leave 'em with 'em Cause if I run in the game in these, man the seams are splittin' No pun intended but they're smellin' defeat in the air Headed where nobody took it, who meetin' me there? They tell him that he's talkin' crazy but he doesn't care Bein' humble don't work as well as bein' aware Listen up, boy, you're better off eavesdroppin' We already got spring 2015 poppin' PND droppin', Reps-up P droppin' Majid Jordan droppin', OB droppin', not to mention me droppin' Feel like we paid the refs off, man we fixed the game Me and Noel been at it before Twitter names Yeah, been on the move like the lease is up And I can't even name one person that's keepin' up Damn, fuck how it was in the past tense Ask yourself, how do we match up now? Cause I'm only 27 and I'm only gettin' better If I haven't passed you yet, watch me catch up now, for real  Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up Could it be the way that I'll catch up",1,961,35.50,30.50,75.18,2.30,120.12,5.62,87.72,53.90,21.23,12.90,7.60,1.14,1.66,1.25,1.25,8.32,5.31,12.17,11.45,4.27,3.64,2.60,18.83,2.91,2.19,2.08,1.98,2.50,5.72,1.46,4.16,0.21,3.23,0.21,11.03,0.10,0.83,0.62,2.19,11.34,1.77,1.77,2.39,1.77,1.25,3.75,2.91,1.04,1.25,0.52,3.54,2.29,0.10,0.83,0.21,7.91,2.29,0.94,4.06,0.94,0.31,3.75,14.15,1.77,15.61,3.12,8.84,3.85,1.14,0.73,0.31,1.35,0.42,0.10,8.01,4.99,1.87,0.42,0.52,0.00,22.06,0.31,8.22,0.00,0.00,0.62,0.00,1.35,0.42,11.13,0.00,0.00
10 Bands,Drake," 10 Bands, 50 bands, 100 bands, fuck it, man Let's just not even discuss it, man OMG, niggas sleep, I ain't trippin', I'mma let 'em sleep I ain't trippin', let 'em rest in peace  I can tell ya how it happened I can tell ya 'bout them safe house nights out in Calabasas I can tell you not a rapper Tryna sell this story, I don't even open up the package Who you with? What you claim? I was payin' mama's rent when was I turning 17 Soda dirty like Diana never clean My ex asked me, ""Where you movin'?"" I said, ""On to better things""  10 Bands, 50 bands, 100 bands, fuck it, man Let's just not even discuss it, man OMG, niggas sleep, I ain't trippin', I'mma let 'em sleep I ain't trippin', let 'em rest in peace  I been in the crib with the phones off I been at the house taking no calls I done hit the stride got my shit goin' In the six cooking with the wrist motion Drapes closed, I don't know what time it is I'm still awake, I gotta shine this year I could never ever let the streets down Haven't left the condo for a week now  10 Bands, 50 bands, 100 bands, fuck it, man Let's just not even discuss it, man OMG, niggas sleep, I ain't trippin', I'mma let 'em sleep I ain't trippin', let 'em rest in peace  I've been on a mission, haven't left the condo This that OVO, that SZN, this that new Toronto I get boxes of free Jordan like I play for North Carolina How much I make off the deal, how the fuck should I know? All my watches always timeless, you can keep the diamonds Treatin' Diamonds of Atlanta like it's King of Diamonds Take a flick, I look like Meechy, look like Bleu DaVinci I treat V Live like it's 07 in Magic City Man, I told my city I'd be gone till November then November came Then I came, right back on my worst behav' 6 God, put both hands together, that's amazin' grace 6 God, selfish with the love, I need all the praise  They got me feelin' like the one again  They got me feelin' like the one again Yeah, shout goes out to Nike, checks all over me I need a FuelBand just to see how long the run has been  10 Bands, 50 bands, 100 bands, fuck it, man Let's just not even discuss it, man OMG, niggas sleep, I ain't trippin', I'mma let 'em sleep I ain't trippin', let 'em rest in peace  I been in the crib with the phones off I been at the house takin' no calls I done hit the stride, got my shit going In the 6 cookin' with the wri-wri-wri-wri",1,475,42.47,28.49,81.22,36.91,95.00,7.16,84.63,49.26,17.89,12.84,9.89,0.84,1.47,0.00,0.63,5.05,6.11,9.68,9.89,5.05,1.68,4.42,18.74,1.47,2.11,1.89,4.21,1.05,4.42,2.53,1.89,0.00,1.47,0.00,11.79,0.00,0.00,0.00,2.11,7.16,0.42,1.05,0.84,0.21,1.47,3.16,2.53,1.05,0.84,0.63,4.63,2.53,0.21,1.05,0.63,4.84,1.26,0.42,1.26,1.68,0.42,4.84,11.58,1.68,13.68,1.68,7.79,4.42,0.21,3.16,1.47,0.84,0.42,0.00,6.11,2.32,3.37,0.21,0.00,0.00,25.68,0.00,12.00,0.00,0.00,0.84,0.00,0.63,0.84,11.37,0.00,0.00
6 God,Drake,"  Rrrr Ting  I'll admit it, I'll admit it Watch your motherfuckin' tone, boy, get hurt, boy Aww, here go another mo'fucker that don't understand The concept of puttin' money first, boy I'm 'bout to hit you with the work, boy I'm 'bout to hit you with the work, boy I hate comin' through stuntin' on niggas that I know Ahh, that's the worst, boy I'll admit it, I'll admit it You haven't been the man for like a minute I told you that I'm in it for the long haul You can really get the business I'll admit it, I'll admit it Rolling swishers hittin' swishes Got me feelin' like a ball hog I don't pass 'em when I get it I'll admit it, I'll admit it You too worried 'bout the bitches I got one girl, and she my girl, and nobody else can hit it She'll admit it, she'll admit it She ain't fuckin' with you niggas And just like every single other thing in my life You can have her when I'm finished I hear the talk on road is I'm the shit, boy Phone call back home, shit is hot up in the 6, boy Shit hot up in the 6 right now, shit hot up in the 6, boy Shit is hot up in the 6 right now Come see us and get it fixed, boy Black Benz on the road, boy, already had a Rolls Royce Sold a couple Bentley last week, them were my old toys I give a fuck about old boy I give a fuck about his squad, boy I give a fuck about your mob, boy I'm the real 6 God, boy I'm about to say a true thing I'm about to say a true thing You was poppin' back when Usher wore a U-chain God damn, you changed I put it on 'erything, it's a Rrr Ting It's a OVO come through murk things I know you heard things Bitch, I know you heard things Yeah, I know you heard things, I know you I'm not new to this Coming from the motherfucking 6 side I'm not new to this Niggas wouldn't make it on this side I'm not new to this I'm not new, I'm not new Yeah, I know you heard things Nobody really likes us except for us Yeah, all I ever needed was the squad so that's what's up Yeah, my sound got the whole city in your way right now So I don't give a fuck about what anybody sayin' right now",1,430,23.82,57.39,89.74,1.00,430.00,4.88,91.86,54.88,26.74,16.98,10.23,0.70,4.42,1.40,0.23,9.77,7.44,10.23,10.70,5.58,2.09,3.02,23.49,4.19,1.16,1.16,2.09,1.63,4.88,0.70,4.19,0.23,3.49,0.23,17.21,0.00,0.47,1.63,3.95,9.07,3.95,0.47,0.47,0.23,1.16,2.79,4.19,0.70,2.09,1.40,2.79,1.40,0.23,1.16,0.00,5.35,1.16,0.70,1.63,1.63,0.23,4.42,18.14,2.56,13.49,1.86,6.98,5.12,0.70,0.47,0.23,0.70,0.47,0.00,6.98,4.42,1.16,0.93,0.23,0.47,20.23,0.00,8.60,0.00,0.00,0.00,0.00,0.23,0.00,11.40,0.00,0.00
6 Man,Drake," Boomin' out in South Gwinnett like Lou Will 6 man like Lou Will, 2 girls and they get along like I'm...  Like I'm Lou Will, I just got the new deal I am in the Matrix and I just took the blue pill No ho shit, no fuckin' ho shit, save that for your shit I don't need no fuckin' body, I run my own shit I told yah, thought I told yah, you didn't listen Fieri, I'm in the kitchen, I'm a magician I'm on it, I'm like Macgyver, I'm Michael Myers I kill careers and cut the lights off, this shit is frightenin' I knew it would end up like this, I'm fuckin' psychic Young, but I'm makin' millions to work the night shift  Work the night shift Young, but I'm makin' millions to work the night shift   Young but I'm gettin' every single motherfuckin' thing I'm owed You gotta know I'm here to fuck with nigga's souls, my heart is cold It's prolly cause I'm from the snow, with all my woes I know they wanna see me go, I'm on a roll I mean I'm back on this again, I'm here again You know the truth, let's not pretend, I'm not your friend Not your guy, I'm not your buddy, show no lovin' I might go DeMarcus Cousins out in public Man, I'm back on this again, I'm here again I didn't do this fuckin' tape for CNN I am not tryna win awards, that shit looked forced It's nothin' like this Young, but I'm makin' millions to work the night shift   Work the night shift Young, but I'm makin' millions to work the night shift   If you were worried about where I've been or who I saw or What club I went to with the homies Baby don't worry, you know that you got me I'm never worried about where I'm at or who I saw or What club I go to with the homies Baby don't worry, I know that they got me",1,339,13.43,4.93,98.37,1.00,169.50,5.60,89.38,57.23,24.78,19.17,15.04,0.29,2.95,0.00,0.88,5.60,5.01,10.91,13.86,5.01,3.83,4.42,23.01,5.01,2.06,1.77,2.06,0.88,6.78,1.18,5.60,1.47,3.54,0.29,8.55,0.88,0.88,0.29,1.18,11.21,2.65,0.59,1.18,2.36,1.18,5.01,2.95,2.06,0.59,0.29,4.42,2.36,0.29,1.47,0.59,6.19,1.77,2.36,0.88,2.06,0.00,4.72,18.29,1.77,12.39,1.77,5.31,5.90,2.36,0.59,0.29,0.29,0.29,0.29,5.60,3.83,1.47,0.59,0.00,0.00,24.19,0.88,8.85,0.00,0.00,0.00,0.00,0.00,0.00,14.45,0.00,0.00
9,Drake," Yeah, for the dogs dem, you know Man when shit gets like this, man the whole city Shit's crazy right now, and shit ain't gonna stop Know shit gonna get a lot more worse before it get any better  Look, momma hit my phone and said rap's no good Better than her telling me the check's no good Now they wanna act like I do no good Funny cause I really did more than I should I made a decision last night that I would die for it Just to show the city what it takes to be alive for it Can't get me on the line So they hang me out to dry for it You know 40 wants peace But I'm down to cut ties for it And I can't sleep these days unless I take one If they don't have a story these days, they'll make one Life is always on, man, I never get a break from it Doesn't matter where I go I can never get away from it They give me loyalty and I don't gotta pay for it Same way, breads gotta break for it Keeping people fed is my only peace of mind now And I turn the six upside down, it's a nine now I made a decision last night that I would die for it       All these hand outs, man it's getting outta hand I'mma start telling niggas ""Get it how you can"" I got it right now so I'm everybody's friend If I ever lose I bet we never speak again I made a decision last night that I'd die for it Just to show the city what it takes to be alive for it First place, first place, man we can't be tied for it I only drove it five times, paid 1.5 for it Keychain go jang-a-lang, I wanna do major things MJ in every way, I just don't fade away Six upside down, it's a nine now Like Mannie, like Stunna, man, shit is big time now And I made a decision last night that I would die for it       Make me feel the same way that I did to you Trust me when I say I thought it all through Trust me when I say that shit is old moves God made himself a way from me to you Tried to kill me but they still want the Views Tried to kill me but they still want the Views Tried to kill me but I am very much alive on the six side Yeah, I said I am very much alive on the six side I said I am....",1,446,27.91,20.34,91.85,19.11,446.00,3.14,94.62,55.61,22.87,14.35,10.76,0.45,1.12,0.45,1.57,8.52,5.16,10.76,7.85,6.50,4.26,3.14,20.18,4.04,3.14,1.57,2.91,2.24,5.38,2.47,2.91,0.00,2.02,0.22,8.74,0.22,0.22,0.45,1.57,11.88,2.02,2.02,2.47,1.12,2.02,3.14,3.59,1.12,1.57,0.90,3.36,2.02,1.12,0.00,0.22,8.30,0.90,1.79,1.12,4.04,1.12,3.81,16.37,2.02,16.37,1.79,5.83,8.30,0.22,0.00,0.00,0.67,0.22,2.47,3.59,1.57,1.12,0.45,0.00,0.00,10.99,0.90,4.71,0.00,0.00,0.00,0.00,0.45,0.45,4.48,0.00,0.00
All Me,Drake," ] ""I'm really stepping up my game These bitches gotta start paying me for this Can't get no more free Randy""  Got everything, I got everything I cannot complain, I cannot I don't even know how much I really made, I forgot, it's a lot Fuck that, never mind what I got Nigga don't watch that cause I� Came up, that's all me, stay true, that's all me No help, that's all me, all me for real Came up, that's all me, stay true, that's all me No help, that's all me, all me for real  Money on my mind, you should think the same J's on, pinky ring�dogging these hoes, I need quarantine In the same league, but we don't ball the same  She want all the fame, I hear that shit all the time She said she love me, I said, ""Baby girl, fall in line"" Okay, made a million, off a dinner fork, watch me switch it up Walked in, ""Ill nigga alert! Ill nigga alert!"" You need that work, I got that work, got bitches in my condo Just bought a shirt that cost a Mercedes-Benz car note From the A to Toronto, we let the metal go off And my dick so hard it make the metal detector go off This that sauce, this that dressing Givenchy, nigga God bless you If having a bad bitch was a crime, I'd be arrested   Got everything, I got everything I cannot complain, I cannot I don't even know how much I really made, I forgot, it's a lot Fuck that, never mind what I got Nigga don't watch that cause I� Came up, that's all me, stay true, that's all me No help, that's all me, all me for real Came up, that's all me, stay true, that's all me No help, that's all me, all me for real  I touched down in '86, knew I was the man by the age of 6 I even fucked the girl that used to babysit But that was years later on some crazy shit I heard your new shit, nigga hated it Damon Wayans, homie don't play that shit I get paid a lot, you get paid a bit And my latest shit is like a greatest hits God damn, ain't no wishing over on this side Y'all don't fuck with us, then we don't fuck with y'all It's no different over on this side God damn, should I listen to everybody or myself? Cause myself just told myself: ""You're the motherfucking man, you don't need no help"" Cashing checks and I�m bigging up my chest Y'all keep talking �bout who next But I�m about as big as it gets I swear y'all just wasting y'all breath I�m the light skinned Keith Sweat, I'mma make it last forever It�s not your turn �cause I ain't done yet Look, just understand that I�m on a roll like Cottonelle I was made for all of this shit And I�m on the road box office sales I�m getting paid for all of this shit Ask you to please excuse my table manners I was making room for the table dancers Cause if we judging off your advances Then I just got paid like eight advances, God damn!  Got everything, I got everything I cannot complain, I cannot I don't even know how much I really made, I forgot, it's a lot Fuck that, never mind what I got Nigga don't watch that cause I� Came up, that's all me, stay true, that's all me No help, that's all me, all me for real Came up, that's all me, stay true, that's all me�  Ho, shut the fuck up! I got way too much on my mental I learn from what I've been through I'm finna do what I didn't do And still waking up like the rent's due Not complicated, it's simple I got sexy ladies, a whole Benz-full And to them hoes I'm everything�everything but gentle But I still take my time, man, I guess I'm just old fashioned Wearing retro shit, that's old fashion Nigga, see what I'm saying, no closed caption I paint pics, see the shit, good sex, need to hit Keep a broad on the floor year 'round like season tickets I plead the fifth, drink a fifth, load the nine Leave you split, in the half, smoke a half, need a zip My new girl is on Glee and shit Probably making more money than me and shit I swear to God I got 99 problems but a bitch ain't one I got 99 problems, getting rich ain't one Like I got trust issues I'm sorry for the people I've pushed out I'm the type to have a bullet-proof condom And still gotta pull out But that's just me and I ain't perfect I ain't a saint but I am worth it If it's one thing, I am worth it Niggas still hating but it ain't working Lil' bitch...  Oh me, oh me, oh my I think I done fucked too many women from the 305 'Fore the end of this year I'll do King of Diamonds three more times Smoking on that kush all in our section like it's legalized Girl, you can't always have your way Sometimes it be like that They dont really fuck with you like that They ain't never did me like that I just took my time, you got the shine, I let you eat like that I've been taught to never loan somebody What you need right back And I need that shit right back?  I�m blessed than a motherfucka Niggas been stressed than a motherfucka Niggas getting nervous Clutching they chests like a motherfucka Damn that�s a motherfucker Tell the truth, I don�t listen to you Cause I don�t like being lied to And that ship won�t sail And that wind won�t guide you Daddy was in jail we was talking through the window Like a motherfucking drive-thru That was back then man Now my niggas rich enough to do whatever I do",1,1020,17.24,7.49,86.61,5.71,127.50,7.65,92.16,54.22,25.29,16.27,12.55,0.69,2.35,0.29,0.39,9.02,5.49,9.22,10.98,3.82,3.43,4.90,22.84,4.31,2.65,1.18,1.57,4.22,6.57,2.35,4.22,0.20,3.24,0.10,8.82,0.20,0.10,0.88,0.59,14.22,0.88,1.96,1.57,1.27,5.10,4.12,1.96,0.98,0.78,0.29,3.92,1.86,0.29,1.27,0.59,8.43,1.67,0.49,3.63,3.04,0.39,6.37,14.80,1.08,11.96,2.55,6.37,3.92,0.78,0.49,0.39,1.76,0.78,0.00,5.59,4.71,0.39,0.10,0.29,0.00,20.39,0.29,9.41,0.10,0.00,0.20,0.39,0.39,0.98,8.53,0.00,0.10
Back to Back,Drake," Oh man, oh man, oh man, not again  Yeah, I learned the game from William Wesley You can never check me Back to back for the niggas that didn't get the message Back to back, like I'm on the cover of Lethal Weapon Back to back, like I'm Jordan '96, '97 Whoa, very important and very pretentious When I look back I might be mad that I gave this attention Yeah, but it's weighin' heavy on my conscience Yeah, and fuck, you left The Boy no options I wanna see my niggas go insane You gon' make me step out of my fuckin' frame You gon' make me buy bottles for Charlamagne You gon' make me go out of my fuckin' way I waited four days, nigga, where y'all at? I drove here in the Wraith playin' AR-AB I'm not sure what it was that really made y'all mad But I guess this is what I gotta do to make y'all rap I mean woah, can't fool the city, man, they know what's up Second floor at Tootsies, gettin' shoulder rubs This for y'all that think that I don't write enough They just mad �cause I got the Midas touch You love her, then you gotta give the world to her Is that a world tour or your girl's tour? I know that you gotta be a thug for her This ain't what she meant when she told you to open up more Yeah, trigger fingers turn to twitter fingers Yeah, you gettin' bodied by a singin' nigga I'm not the type of nigga that'll type to niggas And shout-out to all my boss bitches wifin' niggas Make sure you hit him with the prenup Then tell that man to ease up I did another one, I did another one You still ain't did shit about the other one I got the drink in me going back to back Yeah, going back to back I got the drink in me going back to back Yeah, I'm going back to back I don't wanna hear about this ever again Not even when she tell him that they better as friends Not even when you saying, ""Drizzy, tell 'em again!"" I been puttin' on a show, it was a sell-out event Oh, you need better seatin' I didn't wanna do it, gave me every reason The point I'm tryin' to make is I don't ever need 'em Seen what you�d do for fame, what would you do for freedom? Please, check 'em for a wire or a earpiece Please, please do not let these niggas near me Please, think before you come for the great one Please, who's a real nigga and who ain't one? Please, somebody stop me I'm talkin' boasy and gwanin wassy I got the fest in five days and it's my shit Soon as a nigga hit the stage, they gon'... They gon' ask if I can play this shit back to back Yeah, they want it back to back They gon' ask if I can play this shit back to back I took a break from Views, now it's back to that, nigga  ",1,529,23.07,37.39,85.74,39.27,75.57,4.54,91.68,58.03,23.06,15.88,8.88,0.00,4.16,1.51,1.32,7.18,5.29,11.15,8.70,8.51,3.78,3.21,20.04,2.27,1.51,2.46,1.89,0.95,5.67,3.21,2.46,0.00,2.27,0.00,12.10,0.00,0.19,1.32,1.51,10.59,1.70,1.89,1.70,1.51,1.32,3.78,2.65,0.95,0.76,0.95,2.65,1.51,0.00,0.57,0.38,3.97,0.95,0.38,1.13,1.70,0.19,4.35,12.67,3.97,16.26,3.02,9.07,8.13,0.57,1.32,0.00,0.38,0.00,0.19,9.26,3.59,2.46,1.51,0.76,0.38,19.47,0.57,7.18,0.00,0.00,0.76,0.19,0.57,0.57,9.64,0.00,0.00
Best I Ever Had,Drake," You know a lot of girls be... Thinking my songs are about them, but This is not to get confused, this one's for you  Baby, you my everything, you all I ever wanted We could do it real big, bigger than you ever done it You be up on everything, other hoes ain't never on it I want this forever, I swear, I can spend whatever on it 'Cause she hold me down every time I hit her up When I get right, I promise that we gon' live it up She made me beg for it 'til she give it up And I say the same thing every single time I say, you the fuckin' best, you the fuckin' best You the fuckin' best, you the fuckin' best You the best I ever had, best I ever had Best I ever had, best I ever had I say, you the fuckin'  Know you got a roommate, call me when there's no one there Put the key under the mat and you know I be over there  I be over there, shawty, I be over there I be hittin' all the spots that you ain't even know was there And you don't even have to ask twice You could have my heart or we could share it like the last slice Always felt like you was so accustomed to the fast life Have a nigga thinking that he met you in a past life Sweatpants, hair tied, chillin' with no make-up on That's when you're the prettiest, I hope that you don't take it wrong You don't even trip when friends say, ""You ain't bringing Drake along?"" You know that I'm working, I'll be there soon as I make it home And she a patient in my waiting room Never pay attention to the rumors and what they assume And until them girls prove it I'm the one that never get confused with, 'cause  Baby, you my everything, you all I ever wanted We could do it real big, bigger than you ever done it You be up on everything, other hoes ain't never on it I want this forever, I swear, I can spend whatever on it 'Cause she hold me down every time I hit her up When I get right, I promise that we gon' live it up She made me beg for it 'til she give it up And I say the same thing every single time I say, you the fuckin' best, you the fuckin' best You the fuckin' best, you the fuckin' best You the best I ever had, best I ever had Best I ever had, best I ever had I say, you the fuckin'  Sex, Love, Pain, baby, I be on that Tank shit Buzz so big, I could probably sell a blank disc When my album drop, bitches'll buy it for the picture And niggas'll buy it too and claim they got it for they sister Magazine paper, girl, the money ain't the issue They bring dinner to my room and ask me to initial She call me the referee 'cause I be so official My shirt ain't got no stripes, but I can make your pussy whistle Like the Andy Griffith theme song And who told you to put them jeans on? Double cup love, you the one I lean on Feeling for a fix, then you should really get your fiend on Yeah, just know my condo is the crack spot Every single show, she out there reppin' like a mascot Get it from the back and make your fuckin' bra strap pop All up in your slot 'til the nigga hit the jackpot  Baby, you my everything, you all I ever wanted We could do it real big, bigger than you ever done it You be up on everything, other hoes ain't never on it I want this forever, I swear, I can spend whatever on it 'Cause she hold me down every time I hit her up When I get right, I promise that we gon' live it up She made me beg for it 'til she give it up And I say the same thing every single time I say, you the fuckin' best, you the fuckin' best You the fuckin' best, you the fuckin' best You the best I ever had, best I ever had Best I ever had, best I ever had I say, you the fuckin' best, you the fuckin' best You the fuckin' best, you the fuckin' best You the best I ever had, best I ever had Best I ever had, best I ever had  Uhh, ah yea See, this the type of joint you gotta dedicate to somebody Just make sure they that special somebody Young Money, yeah Yeah You know who you are ",1,809,14.64,74.39,71.18,65.58,202.25,5.81,92.83,61.19,28.92,20.77,9.77,0.87,7.17,1.98,0.99,8.16,6.43,8.65,8.53,6.92,3.58,2.35,17.80,9.02,5.81,1.61,1.11,2.22,8.28,5.19,3.09,0.25,2.60,0.00,16.32,0.62,0.25,2.35,0.12,14.71,1.85,1.61,1.73,1.11,6.67,2.22,2.22,0.37,1.48,0.37,4.20,0.62,0.74,2.60,0.12,11.37,1.73,4.08,7.91,5.44,0.12,4.20,11.00,0.99,14.22,1.24,6.55,6.67,0.37,0.49,0.62,1.24,0.00,0.00,4.57,3.46,0.62,0.62,0.12,0.00,16.19,0.37,8.65,0.00,0.00,0.25,0.00,0.12,0.25,6.55,0.00,0.00
Blem,Drake," Unruly, unruly, maddas Who keeps bringing more? I�ve had too many This Virginia done me off already I�m blem for real, I might just say how I feel I�m blem for real, I might just say how I feel  Don't switch on me, I got big plans We need to forward to the islands And get you gold, no spray tans I need you to stop runnin' back to your ex, he's a wasteman I wanna know, how come we can never slash and stay friends? I'm blem for real, I might just say how I feel I'm blem for real, I might just say how I feel  'Cause I know what I like I know how I wanna live my life I don�t need no advice You�re not here and we both know why So, move from me when you're extra Move from me with the passa I�m buildin' up a house where they raised me You move with me, I�ll go crazy  Don�t switch on me, I got big plans We need to forward to the islands And get you gold, no spray tans I need you to stop runnin' back to your ex, he�s a wasteman I wanna know, how come we can never slash and stay friends? I�m blem for real, I might just say how I feel I�m blem for real, I might just say how I feel  I know we can�t keep it together forever 'Cause you�re crazy sometimes And I only see you sometimes Move from me when you're extra Move from me with the passa I�m buildin' up a house where they raised me You move with me, I'll go�, look  Don�t switch on me, I got big plans We need to forward to the islands And get you gold, no spray tans I need you to stop runnin' back to your ex, he�s a wasteman I wanna know, how come we can never slash and stay friends? I�m blem for real, I might just say how I feel I�m blem for real, I might just say how I feel  Together forever Good morning, good afternoon, good night! I'm here to talk about More Life One second",1,365,4.42,47.81,95.14,35.33,60.83,6.85,86.58,57.53,25.21,24.11,16.16,2.19,4.38,0.82,0.55,1.10,2.74,9.86,11.51,10.41,6.30,3.56,25.21,2.47,0.55,5.21,0.55,1.64,1.64,1.10,0.55,0.00,0.00,0.00,13.15,0.00,0.82,0.00,0.82,15.89,4.11,4.11,3.01,2.74,1.37,0.55,4.93,0.55,2.19,2.19,1.10,0.00,0.82,0.27,0.00,9.04,3.56,0.82,1.37,2.47,0.82,1.64,22.19,4.66,13.97,4.93,6.30,6.03,0.00,0.00,0.55,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00,18.08,0.00,7.67,0.00,0.00,1.10,0.27,0.00,0.00,9.04,0.00,0.00
