Source (A),Source (B),Source (C),Source (D),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Midnight,Coldplay," In the darkness before the dawn In the swirling of the storm When I'm rolling with the punches and hope is gone Leave a light, a light on  Millions of miles from home In the swirling swimming on When I'm rolling with the thunder But bleed from thorns Leave a light, a light on Leave a light, a light on Leave a light, a light on Leave a light, a light on  In the darkness before the dawn In the darkness before the dawn Leave a light, a light on Leave a light, a light on",1,96,99.00,37.72,98.01,44.87,96.00,11.46,91.67,56.25,2.08,2.08,2.08,0.00,0.00,0.00,0.00,0.00,26.04,22.92,3.12,2.08,4.17,0.00,12.50,3.12,3.12,2.08,1.04,0.00,1.04,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,0.00,0.00,1.04,1.04,0.00,1.04,18.75,17.71,1.04,0.00,1.04,1.04,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,11.46,1.04,31.25,11.46,14.58,5.21,0.00,1.04,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,0.00,7.29,0.00,0.00,0.00,0.00,0.00,0.00,2.08,0.00,0.00
Moving To Mars,Coldplay," Somewhere up above the stars The wreckage of a universe floats past Somewhere up above my heart A tiny little seed is sown, a government is overthrown Who knows when we'll be coming home at last  And I heard it on the radio that one day we'll be living in the stars And I heard it on a TV show that somewhere up above and in my heart They'll be tearing us apart, maybe moving us to Mars We won't see the earth again And the seconds just remain unchanged  8 to 9, 9 to 10 We are meeting for the first time We might never meet again, you and me We are meeting for the first time can't you see 7 6 5 4 3 We are meeting for the first time Singing this space symphony  They'll be tearing us apart, maybe moving us to Mars Past the satellites and stars, they're moving us to Mars",1,157,50.34,95.71,95.53,25.77,157.00,10.83,84.08,57.32,19.11,13.38,3.18,7.64,1.27,0.00,1.27,3.82,8.92,12.74,10.19,6.37,4.46,1.91,17.83,0.64,0.00,1.27,8.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.29,0.00,0.00,0.00,0.00,7.01,0.64,0.00,0.00,3.82,0.64,1.91,4.46,1.91,2.55,0.00,1.91,1.27,0.64,0.00,0.00,15.29,8.28,1.91,5.10,0.00,0.00,2.55,9.55,4.46,25.48,2.55,13.38,9.55,2.55,2.55,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.28,0.00,3.82,0.00,0.00,0.00,0.00,0.00,0.00,4.46,0.00,0.00
Princess of China,Coldplay," Once upon a time somebody ran Somebody ran away saying fast as I can I've got to go, I've got to go!!! Once upon a time we fell apart You're holding in your hands the two halves Of my heart Ohhhhh, ohhhhh! Ohhhhh...  Once upon a time, we burned bright Now all we ever seem to do is fight On and on... And on and on and on... Once upon a time on the same side Once upon a time on the same side, in the Same game And why'd you have to go, have to go and Throw water on my flame  I could've been a princess, you'd be a king Could've had a castle, and worn a ring But no, you let me go I could've been a princess, you'd be a king Could've had a castle, and worn a ring But no, you let me go  And stole my star La, la, la, la, la, la, la, la La, la, la, la, la, la, la, la La, la, la, la, la, la, la, la You stole my star La, la la la la laaaaaa Oooooooh-oh oh oooooooh oh oh oh Ohhhhhhhhh Oooooooh-oh oh oooooooh oh oh oh Ohhhhhhhhh  'Cause you really hurt me No you really hurt me 'Cause you really hurt me No you really hurt me 'Cause you really hurt me Ooooooooh you really hurt me, ooooooooh 'Cause you really hurt me Ooooooooh you really hurt me...",1,244,51.19,70.30,88.73,1.13,40.67,7.79,84.84,50.41,16.39,15.57,7.79,1.23,6.56,0.00,0.00,0.82,6.97,9.43,9.02,4.51,4.92,1.64,15.98,2.46,1.64,0.41,2.46,0.41,4.10,0.41,3.69,0.00,0.41,3.28,11.48,0.00,0.00,0.82,0.82,10.25,0.41,2.05,1.64,1.23,0.82,4.51,5.74,0.41,1.23,4.10,1.23,0.82,0.00,0.00,0.41,4.10,1.64,0.00,0.82,1.64,0.00,6.97,7.79,0.00,17.21,4.51,7.79,5.33,0.00,0.41,0.00,0.00,0.00,0.00,9.02,0.00,2.87,0.00,6.15,0.00,27.05,4.92,13.93,0.00,0.00,0.00,1.64,0.82,0.00,5.74,0.00,0.00
Speed of Sound,Coldplay," How long before I get in? Before it starts, before I begin? How long before you decide? Before I know what it feels like? Where to, where do I go? If you never try, then you'll never know How long do I have to climb Up on the side of this mountain of mine?  Look up, I look up at night Planets are moving at the speed of light Climb up, up in the trees Every chance that you get Is a chance you seize How long am I gonna stand With my head stuck under the sand? I'll start before I can stop Before I see things the right way up  All that noise, and all that sound All those places I got found And birds go flying at the speed of sound To show you how it all began Birds came flying from the underground If you could see it then you'd understand  Ideas that you'll never find All the inventors could never design The buildings that you put up Japan and China all lit up The sign that I couldn't read Or a light that I couldn't see Some things you have to believe But others are puzzles, puzzling me  All that noise, and all that sound All those places I got found And birds go flying at the speed of sound To show you how it all began Birds came flying from the underground If you could see it then you'd understand Ah when you see it then you'll understand  All those signs, I knew what they meant Some things you can invent Some get made, and some get sent  Birds go flying at the speed of sound To show you how it all began Birds came flying from the underground If you could see it then you'd understand Ah, when you see it then you'll understand",1,311,31.29,68.51,99.00,25.77,38.88,5.47,93.25,56.59,22.51,13.18,5.79,0.00,7.07,0.00,0.32,9.32,5.14,13.18,7.72,4.82,8.68,1.93,23.47,2.25,2.57,4.18,0.00,5.47,0.00,0.00,0.00,0.00,0.00,0.00,7.72,0.00,0.00,0.00,0.00,20.26,5.14,2.57,3.22,4.50,5.47,2.25,7.72,4.82,2.25,0.64,0.32,0.32,0.00,0.00,0.00,6.43,0.00,0.96,2.89,2.25,0.32,5.14,13.50,3.86,25.40,6.11,9.32,9.97,0.32,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.32,0.64,0.64,0.00,9.00,0.00,3.54,0.00,0.00,2.25,0.00,0.00,0.00,3.22,0.00,0.00
Violet Hill,Coldplay," It was a long and dark December From the rooftops I remember There was snow, white snow Clearly I remember From the windows they were watching While we froze down below When the future's architecture By a carnival of idiots on show You'd better lie low If you love me, won't you let me know?  Was a long and dark December When the banks became cathedrals And a fox became God Priests clutched onto bibles Hollowed out to fit their rifles And the cross was held aloft Bury me in armor When I'm dead and hit the ground My nerves are poles that unfroze And if you love me, won't you let me know?  I don't want to be a soldier Who the captain of some sinking ship Would stow, far below So if you love me, why d'you let me go?  I took my love down to Violet Hill There we sat in snow All that time she was silent still So if you love me, won't you let me know? If you love me, won't you let me know?",1,182,16.63,64.99,85.97,76.53,36.40,10.44,88.46,59.34,20.88,18.68,9.89,1.10,6.04,0.55,1.10,2.20,6.59,9.34,11.54,5.49,9.34,2.75,20.33,2.20,0.55,2.75,0.00,1.10,4.95,3.85,1.10,0.00,0.55,0.55,12.64,0.00,0.00,0.55,0.00,10.44,4.40,0.55,3.85,3.30,1.10,2.75,4.40,3.30,0.55,0.55,3.85,0.55,0.00,0.00,0.00,10.44,4.40,0.55,4.95,1.10,0.00,7.14,5.49,2.75,14.84,1.10,8.24,5.49,0.55,0.00,0.55,0.55,1.65,1.10,0.55,0.55,0.00,0.00,0.00,0.00,11.54,0.00,3.85,0.00,0.00,2.75,0.00,0.00,0.00,4.95,0.00,0.00
Viva La Vida,Coldplay," I used to rule the world Seas would rise when I gave the word Now in the morning I sleep alone Sweep the streets I used to own I used to roll the dice, feel the fear in my enemy's eyes Listen as the crowd would sing Now the old King is dead, long live the King One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand  I hear Jerusalem bells a-ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you go there was never Never an honest word And that was when I ruled the world  It was the wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh who would ever want to be king?  I hear Jerusalem bells a-ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world I hear Jerusalem bells a-ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world",1,285,57.39,15.44,94.36,15.84,142.50,11.23,81.75,50.53,15.09,12.63,12.28,0.00,0.35,0.00,0.00,2.46,10.18,8.42,8.07,4.56,5.26,3.51,17.89,2.46,0.35,2.11,0.70,1.05,2.81,1.05,1.75,0.35,0.70,0.70,7.02,0.00,0.00,0.00,1.05,11.58,4.21,2.11,1.75,1.05,1.75,1.75,6.67,0.35,5.26,0.70,1.75,1.05,0.35,0.00,0.35,2.11,0.00,0.00,2.11,0.00,0.00,3.86,10.53,0.70,14.04,1.05,7.37,5.96,0.00,2.81,1.05,0.00,1.75,0.35,0.35,0.00,0.00,0.00,0.35,0.00,5.96,0.00,1.75,0.00,0.00,0.35,0.00,1.05,0.00,2.81,0.00,0.00
Yellow,Coldplay,"  Look at the stars Look how they shine for you And everything you do Yeah, they were all yellow I came along I wrote a song for you And all the things you do And it was called ""Yellow"" So then I took my turn Oh, what a thing to have done And it was all yellow  Your skin, oh, yeah, your skin and bones Turn into something beautiful Do you know, you know I love you so? You know I love you so  I swam across I jumped across for you Oh, what a thing to do Cause you were all yellow I drew a line I drew a line for you Oh, what a thing to do And it was all yellow  Your skin, oh, yeah, your skin and bones Turn into something beautiful And you know For you I'd bleed myself dry For you I'd bleed myself dry  It's true Look how they shine for you Look how they shine for you Look how they shine for Look how they shine for you Look how they shine for you Look how they shine  Look at the stars Look how they shine for you And all the things that you do",1,203,8.85,99.00,16.98,71.95,101.50,2.46,97.04,64.04,31.53,23.65,6.90,0.00,12.32,0.00,4.43,7.88,4.93,10.84,7.88,5.42,10.34,0.00,19.21,2.46,0.00,5.42,0.00,2.96,2.46,2.46,0.00,0.00,0.00,0.00,18.72,0.00,0.00,0.00,0.00,11.33,1.97,4.43,0.00,0.99,3.94,0.00,15.76,12.32,0.49,2.96,4.93,3.94,0.99,0.00,0.00,1.48,0.99,0.00,0.00,0.49,0.00,5.91,12.32,0.49,6.40,2.96,2.96,0.49,0.49,0.49,0.00,0.00,0.00,0.00,3.94,0.00,0.00,1.48,2.46,0.00,8.37,0.00,5.42,0.00,0.00,0.49,0.00,0.00,0.99,1.48,0.00,0.00
42,Coldplay," Those who are dead are not dead They're just living in my head And since I fell for that spell I am living there as well  Time is so short And I'm sure There must be something more Those who are dead are not dead They're just living in my head And since I fell for that spell I am living there as well  Time is so short And I'm sure There must be something more  You thought you might be a ghost! You thought you might be a ghost! You didn't get to heaven but you made it close You didn't get to heaven but you made it close You thought you might be a ghost You thought you might be a ghost You didn�t get to heaven but you made it close You didn�t get to heaven but you oh-oh-ooh, oh-oh-ooh Oh oh�  Those who are dead are not dead They're just living in my head",0,162,1.64,75.16,58.07,96.52,54.00,3.70,97.53,65.43,23.46,15.43,5.56,0.00,9.88,0.00,0.00,8.02,2.47,8.02,19.14,6.79,7.41,4.32,30.25,3.70,2.47,1.85,0.00,1.23,4.94,4.94,0.00,0.00,0.00,0.00,13.58,0.00,0.00,0.00,0.00,18.52,2.47,3.09,1.23,3.70,2.47,6.79,0.00,0.00,0.00,0.00,4.94,1.85,3.09,0.00,0.00,2.47,0.00,0.00,0.00,2.47,0.00,5.56,15.43,2.47,8.64,1.23,4.94,2.47,0.00,0.00,0.00,0.00,2.47,6.17,4.94,0.00,0.00,0.00,4.94,0.00,10.49,0.62,0.62,0.00,0.00,0.00,1.23,2.47,0.00,5.56,0.00,0.00
A Head Full Of Dreams,Coldplay,"  Oh, I think I've landed In a world I hadn't seen When I'm feeling ordinary When I don't know what I mean  Oh, I think I've landed Where there are miracles at work For the thirst and for the hunger Come the conference of birds  Saying it's true, it's not what it seems Leave your broken windows open And in the light just streams And you get a head, a head full of dreams You can see the change you want to Be what you want to be And you get a head, a head full of dreams Into life, I�ve just been spoken With a head full, a head full of dreams  Oh, I think I landed Where there are miracles at work When you got me open-handed When you got me lost for words I sing oh-oh-oh A head full of dreams  A head full of dreams Into life I�ve just been woken With a head full, a head full of dreams",n,167,55.49,47.60,88.30,25.77,167.00,4.19,94.01,53.89,17.37,13.77,8.98,0.00,4.79,0.00,0.00,3.59,9.58,11.98,9.58,6.59,4.79,1.80,23.35,6.59,0.00,5.39,0.00,0.00,1.20,0.60,0.60,0.00,0.00,0.60,5.99,0.00,0.00,0.00,0.00,7.19,4.19,0.60,1.20,0.60,0.60,0.60,4.19,1.80,1.80,0.60,8.38,6.59,1.20,0.00,1.20,4.19,0.00,1.80,0.00,2.40,0.00,5.39,18.56,0.00,15.57,1.80,11.38,2.40,1.80,4.19,0.60,0.00,0.00,0.00,3.59,0.00,0.00,0.00,3.59,0.00,12.57,0.00,5.39,0.00,0.00,0.00,0.00,1.80,0.00,5.39,0.00,0.00
A Message,Coldplay," My song is love Love to the loveless shown And it goes on You don't have to be alone  Your heavy heart Is made of stone And it's so hard to see you, clearly You don't have to be on your own You don't have to be on your own  And I'm not gonna take it back And I'm not gonna say I don't mean that You're the target that I'm aiming at Can I get that message home?  My song is love My song is love unknown But I'm on fire for you, clearly You don't have to be alone You don't have to be on your own  And I'm not gonna take it back And I'm not gonna say I don't mean that You're the target that I'm aiming at And I'm nothing on my own Got to get that message home  And I'm not gonna stand and wait I'm not gonna leave it until it's much too late On a platform, I'm gonna stand and say That I'm nothing on my own And I love you, please come home  My song is love, is love unknown And I've got to get that message home",n,197,1.34,41.96,92.03,73.20,98.50,5.58,93.40,64.97,25.89,18.78,11.68,0.00,7.11,0.00,0.00,7.11,2.03,11.17,20.81,3.05,7.61,7.61,32.99,4.57,0.00,0.00,0.00,0.51,5.58,4.06,1.52,0.00,0.00,1.02,13.71,0.00,0.00,0.00,0.00,8.12,1.02,0.51,0.00,1.02,2.03,3.55,5.58,0.51,3.55,1.52,4.06,0.51,0.00,0.00,0.00,9.14,5.58,0.00,0.00,3.55,0.00,1.52,28.43,3.55,13.20,5.08,6.60,2.54,0.00,2.03,2.03,0.00,0.00,0.00,3.55,0.00,3.55,0.00,0.00,0.00,15.23,0.00,2.54,0.00,0.00,0.51,0.00,0.00,0.00,12.18,0.00,0.00
A Rush Of Blood To The Head,Coldplay," He said I'm gonna buy this place and burn it down I'm gonna put it six feet underground He said I'm gonna buy this place and watch it fall Stand here beside me baby in the crumbling walls Oh, I'm gonna buy this place and start a fire Stand here until I fill all your heart's desires Because I'm gonna buy this place and see it burn And do back the things it did to you in return Oo-oh, Oo-oh Oo-oh, Oo-oh Said I'm gonna buy a gun and start a war If you can tell me something worth fighting for Oh, and I'm gonna buy this place that's what I said Blame it upon a rush of blood to the head  Honey, all the movements you've started to make See me crumble and fall on my face And I know the mistakes that I made See it all disappear without a trace And they call as they beckon you on They said start as you mean to go on Start as you mean to go on  He said I'm gonna buy this place and see it go Stand here beside me baby, watch the orange glow Some will laugh and some just sit and cry But you just sit down there and you wonder why So I'm gonna buy a gun and start a war If you can tell me something worth fighting for And I'm gonna buy this place, that's what I said Blame it upon a rush of blood to the head Oh, to the head, oh  Honey, all the movements you've started to make See me crumble and fall on my face And I know the mistakes that I made See it all disappear without a trace And they call as they beckon you on They said start as you mean to go on As you mean to go on As you mean to go on  So meet me by the bridge Oh, meet me by the lane When am I going to see That pretty face again Meet me on the road Meet me where I said Blame it all upon A rush of blood to the head",n,367,47.07,76.90,91.28,5.46,367.00,5.45,94.55,53.95,22.62,14.99,8.45,0.00,4.09,0.82,1.63,7.63,6.54,13.35,5.45,3.54,9.26,0.54,22.62,3.54,1.91,1.36,0.27,2.18,3.54,0.82,2.72,0.00,1.91,0.27,13.62,0.54,0.54,0.00,0.82,8.99,2.18,1.63,1.36,2.18,1.63,1.36,7.63,3.54,2.72,0.82,3.00,3.00,0.00,0.00,0.00,2.45,1.09,0.00,1.09,0.27,0.00,4.36,15.53,3.27,19.35,7.08,8.99,3.54,0.00,0.00,0.00,3.00,0.00,0.54,5.18,0.00,2.72,0.00,2.45,0.00,8.17,0.00,3.00,0.00,0.00,0.00,0.00,1.09,0.00,4.09,0.00,0.00
Always In My Head,Coldplay," I think of you I haven't slept I think I do But I don't forget My body moves Goes where I will But though I try My heart stays still It never moves Just won't be led So my mouth waters to be fed And you're always in my head You're always in my head You're always in my head You're always in my head You're always in my head Always in my Always in my This, I guess Is to tell you you're chosen out From the rest",n,89,1.95,15.59,99.00,25.77,89.00,0.00,96.63,65.17,31.46,29.21,20.22,0.00,8.99,0.00,0.00,2.25,1.12,13.48,15.73,6.74,5.62,4.49,29.21,0.00,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.11,0.00,0.00,0.00,0.00,19.10,2.25,1.12,0.00,2.25,8.99,4.49,0.00,0.00,0.00,0.00,11.24,10.11,0.00,0.00,1.12,1.12,0.00,1.12,0.00,0.00,0.00,3.37,24.72,2.25,25.84,5.62,11.24,10.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.24,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,10.11,0.00,0.00
Amazing Day,Coldplay," Sat on a roof, named every star Shed every bruise and showed every scar Sat on a roof, your hand in mine, singing ""Life has a beautiful, crazy design""  And time seemed to say ""Forget the world and all its weight"" Here I just wanna stay Amazing day, amazing day  Sat on a roof, named every star and Showed me a place where you can be who you are  And the view; the whole Milky Way In your eyes, I'm drifting away And in your arms, I just wanna sway Amazing day, amazing day Amazing day, amazing day Oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh-oh Oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh-oh, oooh  And I asked every book, poetry and chime ""Can there be breaks in the chaos of times?"" Oh, thanks God, you must've heard when I prayed Because now I always want to feel this way  Amazing day, amazing day Amazing day, amazing day Today",n,171,67.78,67.99,72.35,99.00,85.50,8.19,92.98,36.26,9.94,8.19,4.68,0.00,3.51,0.00,0.00,1.75,5.26,6.43,5.85,4.09,5.85,0.00,15.20,7.02,0.00,1.75,0.00,4.09,7.60,7.02,0.58,0.00,0.00,0.00,5.85,0.00,0.00,0.00,0.00,8.19,1.17,0.58,1.75,0.58,4.68,0.00,6.43,2.92,1.75,1.75,3.51,1.75,0.58,0.00,1.17,0.58,0.00,0.00,0.58,0.00,0.00,6.43,9.36,1.75,20.47,1.75,8.19,11.11,0.58,1.75,0.00,0.00,1.17,0.00,18.71,0.00,0.58,0.00,16.96,0.00,30.41,0.00,12.28,0.00,0.58,0.58,0.00,12.28,3.51,1.17,0.00,0.00
Amsterdam,Coldplay," Come on, my star is fading And I swerve out of control If I, if I�d only waited I�d not be stuck here in this hole Come here, oh my star is fading And I swerve out of control And I swear I waited and waited I�ve got to get out of this hole  But time is on your side It's on your side now Not pushing you down and all around It�s no cause for concern  Come on, oh my star is fading And I see no chance of release And I know I�m dead on the surface But I am screaming underneath  But time is on your side It's on your side now Not pushing you down and all around It�s no cause for concern  Stuck on the end of this ball and chain And I�m on my way back down again Stood on a bridge, tied to the noose Sick to the stomach You can say what you mean But it won�t change a thing I�m sick of the secrets Stood on the edge, tied to a noose She came along and she cut me loose You came along and you cut me loose You came along and you cut me loose",n,205,33.81,33.03,99.00,1.78,205.00,5.85,94.63,63.90,21.95,17.07,10.24,0.00,5.85,0.98,0.00,4.88,4.39,17.56,9.27,4.39,9.27,3.41,20.00,2.93,0.00,0.49,0.00,0.98,2.93,0.00,2.93,0.00,0.00,0.00,7.80,0.00,0.00,0.98,0.00,9.76,1.46,2.44,0.98,1.46,0.98,4.39,3.41,0.49,0.98,1.46,1.46,0.49,0.98,0.00,0.00,4.39,0.00,0.00,2.44,0.98,0.98,5.37,13.66,0.49,27.32,5.37,16.10,6.34,0.00,0.49,0.00,0.00,0.00,0.49,0.98,0.00,0.00,0.00,0.98,0.00,8.29,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,5.37,0.00,0.00
Another's Arms,Coldplay," Late night watching T.V Used to be you here beside me Used to be your arms around me Your body on my body  When the world means nothing to me Another's arms Another's arms When the pain just rips right through me Another's arms Another's arms  Late night watching T.V Used to be you here beside me Is there someone there to reach me? Someone there to find me?  When the pain just rips right through me Another's arms Another's arms And that's just torture to me Another's arms Another's arms Pull yourself into me Another's arms Another's arms When the world means nothing to me Another's arms Another's arms Got to pull you close into me Another's arms Another's arms Pull yourself right through me Another's arms Another's arms  Late night watching T.V Wish that you were here beside me Wish that your arms were around me Your body on my body",n,156,42.69,57.63,92.13,5.37,52.00,18.59,83.97,50.64,20.51,17.31,10.90,0.00,6.41,0.00,0.00,3.21,2.56,13.46,4.49,9.62,3.21,1.28,14.10,1.92,0.00,2.56,0.00,0.00,1.92,0.00,1.92,0.00,0.64,0.00,7.69,0.00,0.00,0.00,0.00,7.69,1.92,1.92,1.28,1.28,1.28,0.00,3.21,1.92,0.00,1.28,15.38,14.10,1.28,0.00,0.00,0.64,0.00,0.00,0.00,0.64,0.00,3.85,5.13,1.28,17.95,1.92,9.62,6.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.10,1.92,0.00,0.00,0.00,1.28,0.00,0.00,0.00,10.90,0.00,0.00
Army Of One,Coldplay," Been around the world, the wonders to view Been around the world, looking for someone like you Pyramids try, Babylon too But the beautifullest treasures lie in the deepest blue  So I never say die, aim never untrue I'm never so high as when I'm with you And there isn't a fire that I wouldn't walk through My army of one is gonna fight for you  Been around the world, universe too I've been around flying, baby, there's nothing I wouldn't do Tanzaku stars, lasso the moon And be standing here beside you Right when the storm comes through  Cause I never say die, aim never untrue I'm never so high as when I'm with you And there isn't a fire that I wouldn't walk through My army of one is gonna fight for you My army of one is gonna fall for you, yeah  Cause you reign All cause you reign All cause you reign My army of one is gonna call it through  Saying my heart is my gun, army of one Yeah my heart is my gun, army of one It's my only weapon, army of one Yeah my heart is my gun, army of one",n,199,14.72,50.00,84.68,12.46,199.00,9.55,91.46,58.29,18.09,15.58,10.55,0.00,5.03,0.00,0.00,2.51,5.03,14.07,12.56,11.56,6.03,6.03,20.10,3.02,2.01,1.51,4.02,1.01,2.01,0.50,1.51,0.00,1.51,0.00,13.07,0.50,0.00,0.00,0.00,11.06,0.50,2.01,1.51,1.51,4.52,1.51,4.02,1.51,1.51,1.01,1.51,1.51,0.00,0.00,0.00,7.04,0.00,0.50,6.53,0.00,0.00,2.01,13.57,2.01,16.08,4.52,7.04,4.52,0.00,0.00,0.00,0.50,0.00,1.01,3.52,0.00,2.01,1.51,0.00,0.00,13.07,0.00,7.04,0.00,0.00,0.00,0.00,0.00,0.00,6.03,0.00,0.00
Careful Where You Stand,Coldplay," I feel safe, I feel warm When you're here, can I do no wrong? I am cured, when I'm by your side I'm all right, I'm all right I am safe when I am with you And I feel warm if you want me to I am cured, when I'm by your side I'm all right  Careful where you stand, my love Careful where you lay your head It's true, we're always Looking out for one another  I feel safe when I am with you And I feel warm when you want me too I am cured when you are around I'm alright  Careful where you stand, my love Careful where you lay your head It's true, we're always Looking out for one another  So I'd like a quiet time, please Yeah I'd like a quiet time Ooh, ah ooh, ah ooh Ooh, ah ooh, ah ooh And careful where you stand And careful where you stand",n,157,1.05,77.77,97.80,99.00,78.50,7.01,91.72,57.96,29.30,26.75,15.29,1.27,10.19,0.00,0.00,2.55,1.27,7.64,12.74,10.83,8.28,0.64,20.38,7.01,1.27,8.28,1.27,3.18,8.28,7.64,0.64,0.00,0.00,0.00,12.74,0.00,0.00,0.00,0.00,9.55,3.18,0.00,1.91,0.64,4.46,0.64,7.64,1.27,1.27,5.10,2.55,1.27,0.00,0.00,0.00,8.92,2.55,0.00,0.00,0.00,6.37,0.00,18.47,0.00,15.92,0.00,8.92,7.01,0.00,0.00,0.00,0.00,0.00,0.00,3.82,0.00,0.00,3.82,2.55,0.00,17.83,0.00,8.92,0.00,0.00,0.64,0.00,0.00,0.00,8.28,0.00,0.00
Cemeteries of London,Coldplay," At night they would go walking Till the breaking of the day The morning is for sleeping Through the dark streets they go searching To see God in their own way Save the night time for your weeping Your weeping  Singing la-la-la-la-la-la-lay And the night over London lay  So we rode down to the river Where Victorian ghosts pray For their curses to be broken We go underneath the arches Where the witches are and they say ""There are ghost towns in the ocean"" The ocean  Singing la-la-la-la-la-la-lay And the night over London lay  God is in the houses And God is in my head And all the cemeteries of London I see God come in my garden But I don�t know what he said For my heart it wasn�t open Not open  Singing la-la-la-la-la-la-lay And the night over London lay Singing la-la-la-la-la-la-lay There�s no light over London today",n,173,88.01,61.39,67.35,10.98,173.00,9.83,78.61,45.09,9.83,8.67,2.89,1.16,1.16,0.58,2.89,1.16,8.67,13.29,5.78,2.89,5.20,2.31,22.54,1.16,0.00,1.73,0.00,0.58,2.31,0.58,1.73,0.00,0.00,1.16,7.51,0.00,0.00,0.58,0.58,3.47,0.58,0.00,0.58,0.00,0.58,1.73,6.36,2.89,3.47,0.00,1.73,1.73,0.00,0.00,0.00,6.94,1.16,0.58,5.78,0.58,0.00,1.73,15.61,0.58,19.65,3.47,10.40,5.78,0.00,2.89,1.16,0.00,2.89,1.73,0.00,0.00,0.00,0.00,0.00,0.00,16.76,0.00,0.00,0.00,0.00,0.00,0.00,13.87,1.16,1.73,0.00,0.00
Charlie Brown,Coldplay,"Oooo, wooo... Stole a key Took a car downtown where the lost boys meet Took a car downtown and took what they offered me To set me free I saw the lights go down at the end of the scene Saw the lights go down and standing in front of me Oooo... In my scarecrow dreams When they smash my heart into smithereens Be a bright red rose come bursting through concrete Be a cartoon heart Light a fire a fire a spark Light a fire a flame in my heart We�ll run wild We�ll be glowing in the dark Oooo-ooo-ooo We�ll be glowing in the dark A-woo-a-wooooo All the boys, all the girls, all that matters in the world All the boys, all the girls, all the madness that occurs All the highs all the lows, as the room a-spinning goes We�ll run wild, we�ll be glowing in the dark Oooo, oooo, oooo... So we�ll soar Luminous and wired We�ll be glowing in the dark",n,172,96.03,82.39,45.67,35.95,43.00,10.47,86.63,45.93,11.05,9.30,4.07,4.07,0.00,0.00,1.16,1.74,18.02,9.88,7.56,1.74,3.49,0.00,15.70,1.74,0.58,1.74,0.00,4.65,1.74,1.16,0.58,0.00,0.00,0.58,9.30,0.00,0.00,1.16,1.74,4.65,0.00,0.00,0.00,0.00,4.65,0.00,11.05,9.30,0.00,1.74,1.74,1.74,0.00,0.00,0.00,8.72,4.65,0.58,1.16,2.33,0.00,4.07,7.56,4.07,16.28,4.65,10.47,1.16,0.00,1.16,0.58,0.58,0.00,0.00,6.40,0.00,4.65,1.74,0.00,0.00,18.02,5.23,5.23,0.00,0.00,0.00,0.00,3.49,0.00,4.07,0.00,0.00
