title,artist,NN,NNP,DT,IN,JJ,NNS,CC,PRP,VB,VBG,I,n't,love,'s,'m,like,You,know,And,night,na,baby,got,yeah,oh,But,Oh,get,wan,'re,bum,We,go,ya,want,Do,one,way,It,let,average characters,uniqueness,average words,num long words,popular
Stay,Rihanna,27.0,12.0,2.0,14.0,13.0,1.0,4.0,16.0,9.0,5.0,0.0714285714286,0.0194805194805,0.0,0.025974025974,0.00649350649351,0.0194805194805,0.0,0.0194805194805,0.0194805194805,0.0,0.0,0.0,0.0,0.0,0.0,0.00649350649351,0.012987012987,0.0,0.0,0.012987012987,0.0,0.0,0.012987012987,0.0,0.025974025974,0.0,0.0194805194805,0.038961038961,0.0194805194805,0.0,3.96753246753,0.487341772152,244.0,0.175324675325,y
Take A Bow,Rihanna,23.0,19.0,3.0,9.0,12.0,2.0,10.0,6.0,10.0,12.0,0.0169491525424,0.0112994350282,0.00564971751412,0.0621468926554,0.0,0.00564971751412,0.0169491525424,0.0112994350282,0.00564971751412,0.0,0.0,0.0,0.0112994350282,0.0282485875706,0.0,0.0508474576271,0.0225988700565,0.00564971751412,0.0,0.045197740113,0.0,0.0,0.0169491525424,0.0,0.0,0.0112994350282,0.00564971751412,0.0,0.0,0.0,4.28813559322,0.450261780105,261.0,0.220338983051,y
Talk That Talk,Rihanna,99.0,46.0,2.0,5.0,22.0,3.0,1.0,25.0,11.0,8.0,0.0704225352113,0.0,0.00704225352113,0.0,0.0,0.0457746478873,0.0105633802817,0.0211267605634,0.00352112676056,0.0176056338028,0.00352112676056,0.0387323943662,0.0105633802817,0.0633802816901,0.0,0.0,0.0,0.0176056338028,0.00352112676056,0.0,0.0,0.00352112676056,0.00352112676056,0.0,0.0246478873239,0.0,0.0,0.0,0.0,0.0105633802817,3.84507042254,0.350931677019,264.0,0.102112676056,y
Umbrella,Rihanna,46.0,36.0,2.0,13.0,20.0,7.0,4.0,28.0,12.0,3.0,0.0344827586207,0.00766283524904,0.00383141762452,0.0498084291188,0.0,0.0,0.0459770114943,0.00383141762452,0.0114942528736,0.0,0.0,0.00766283524904,0.0,0.0,0.0,0.00383141762452,0.0,0.0,0.0,0.00383141762452,0.0,0.00766283524904,0.00383141762452,0.0,0.0,0.0,0.0,0.0,0.0191570881226,0.00383141762452,4.3908045977,0.417808219178,67.0,0.241379310345,y
Unfaithful,Rihanna,33.0,8.0,4.0,5.0,36.0,4.0,6.0,41.0,8.0,8.0,0.166666666667,0.0791666666667,0.00833333333333,0.00416666666667,0.025,0.0,0.0,0.025,0.025,0.0,0.0708333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.0,0.0,0.00416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57083333333,0.357723577236,347.0,0.166666666667,y
We Found Love,Rihanna,29.0,5.0,0.0,4.0,26.0,4.0,4.0,26.0,18.0,4.0,0.0490797546012,0.0122699386503,0.0981595092025,0.0122699386503,0.0122699386503,0.0,0.0,0.0,0.0122699386503,0.0,0.0,0.0,0.0122699386503,0.0,0.0,0.0122699386503,0.0,0.0,0.0,0.0122699386503,0.0,0.0981595092025,0.0122699386503,0.0,0.0,0.0,0.0,0.0122699386503,0.0122699386503,0.0122699386503,4.26993865031,0.300613496933,213.0,0.177914110429,y
What Now,Rihanna,21.0,4.0,1.0,7.0,10.0,6.0,5.0,41.0,19.0,10.0,0.174528301887,0.0801886792453,0.00471698113208,0.0188679245283,0.0283018867925,0.00943396226415,0.0,0.0566037735849,0.00943396226415,0.0,0.0141509433962,0.0,0.0,0.0,0.0283018867925,0.0141509433962,0.0,0.00471698113208,0.0141509433962,0.0,0.0,0.0,0.0141509433962,0.0,0.0,0.0,0.00943396226415,0.0,0.0188679245283,0.0,3.58490566038,0.356828193833,20.375,0.155660377358,y
What's My Name?,Rihanna,61.0,22.0,3.0,5.0,18.0,10.0,3.0,18.0,13.0,5.0,0.0565217391304,0.00434782608696,0.0,0.0565217391304,0.0,0.00434782608696,0.0173913043478,0.00869565217391,0.00434782608696,0.00434782608696,0.0869565217391,0.0,0.0173913043478,0.0,0.0,0.00869565217391,0.0,0.00434782608696,0.0130434782609,0.00869565217391,0.0,0.0,0.0130434782609,0.0,0.00434782608696,0.0,0.0,0.00434782608696,0.00434782608696,0.00869565217391,3.71739130435,0.514925373134,34.2,0.134782608696,y
Where Have You Been,Rihanna,37.0,23.0,3.0,0.0,4.0,0.0,0.0,9.0,4.0,11.0,0.0655737704918,0.0,0.0245901639344,0.0,0.0,0.0,0.00819672131148,0.0,0.0,0.0245901639344,0.0,0.00819672131148,0.0,0.0245901639344,0.0327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131148,0.0,0.0,0.00819672131148,0.0,0.0,4.69672131148,0.225609756098,15.3125,0.262295081967,y
Work,Rihanna,156.0,51.0,2.0,8.0,29.0,7.0,3.0,42.0,16.0,6.0,0.0574712643678,0.00689655172414,0.00229885057471,0.00459770114943,0.00459770114943,0.00689655172414,0.016091954023,0.00459770114943,0.0,0.0,0.00229885057471,0.0,0.00459770114943,0.0,0.00229885057471,0.00459770114943,0.0,0.00919540229885,0.00229885057471,0.00229885057471,0.0,0.00459770114943,0.00229885057471,0.0,0.0,0.00229885057471,0.00229885057471,0.00229885057471,0.0,0.0,3.97011494253,0.27731092437,19.8275862069,0.110344827586,y
You Da One,Rihanna,49.0,19.0,2.0,4.0,23.0,2.0,2.0,75.0,19.0,10.0,0.126470588235,0.0176470588235,0.0823529411765,0.0117647058824,0.0235294117647,0.0117647058824,0.0882352941176,0.0235294117647,0.00294117647059,0.0,0.00294117647059,0.00588235294118,0.00588235294118,0.0,0.0,0.0,0.0,0.00588235294118,0.00294117647059,0.0,0.0,0.0,0.00588235294118,0.0117647058824,0.0,0.0,0.0970588235294,0.0,0.0,0.0,3.36470588235,0.211488250653,487.0,0.102941176471,y
