title,artist,average characters,uniqueness,num long words,I,n't,love,'s,'m,like,You,know,night,And,na,baby,got,yeah,oh,But,get,Oh,wan,'re,go,bum,We,want,ya,way,Do,one,It,take,popular
American Oxygen,Rihanna,5.50738916256,0.181069958848,0.0,0.0,0.0295566502463,0.00985221674877,0.0,0.0,0.0,0.0,0.00492610837438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00492610837438,0.00492610837438,0.00985221674877,0.0,0.0,0.0,0.0,0.0394088669951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Birthday Cake,Rihanna,5.34931506849,0.409090909091,0.0,0.0,0.0547945205479,0.027397260274,0.0,0.027397260274,0.00342465753425,0.0205479452055,0.013698630137,0.013698630137,0.0,0.013698630137,0.0239726027397,0.013698630137,0.0,0.0,0.0,0.013698630137,0.00684931506849,0.0,0.0239726027397,0.0,0.00342465753425,0.0,0.0,0.0171232876712,0.0,0.013698630137,0.013698630137,0.0,0.00684931506849,0.00342465753425,1
Bitch Better Have My Money,Rihanna,4.56481481481,0.287356321839,0.0,0.0,0.0185185185185,0.0231481481481,0.0,0.00925925925926,0.0,0.0185185185185,0.0,0.00462962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00925925925926,0.0,0.0,0.0,1
California King Bed,Rihanna,4.45355191257,0.502702702703,0.0,0.0,0.0491803278689,0.00546448087432,0.00546448087432,0.0,0.0,0.0218579234973,0.0109289617486,0.0,0.00546448087432,0.0109289617486,0.0109289617486,0.0,0.00546448087432,0.0,0.0,0.00546448087432,0.0,0.0,0.0109289617486,0.0218579234973,0.0,0.0,0.0273224043716,0.0,0.0,0.0,0.0,0.00546448087432,0.0109289617486,0.0,1
Cheers (Drink To That),Rihanna,4.76635514019,0.302521008403,0.0,0.0,0.0841121495327,0.0,0.0,0.0,0.0,0.0,0.0,0.00467289719626,0.0,0.00467289719626,0.00934579439252,0.0,0.0,0.102803738318,0.0,0.0,0.018691588785,0.018691588785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Diamonds,Rihanna,4.59756097561,0.480459770115,0.0,0.0,0.0463414634146,0.00975609756098,0.0,0.0121951219512,0.00731707317073,0.0682926829268,0.00487804878049,0.0,0.0,0.00487804878049,0.0,0.0,0.00243902439024,0.0,0.0,0.00243902439024,0.00487804878049,0.00243902439024,0.0,0.0317073170732,0.00243902439024,0.0,0.0414634146341,0.0,0.0,0.0,0.0,0.00243902439024,0.00243902439024,0.0,1
Disturbia,Rihanna,4.12962962963,0.260663507109,0.0,0.0,0.0291005291005,0.0291005291005,0.0,0.0291005291005,0.010582010582,0.0238095238095,0.00793650793651,0.0,0.00529100529101,0.00529100529101,0.0026455026455,0.0,0.0026455026455,0.0026455026455,0.015873015873,0.0026455026455,0.00529100529101,0.0,0.0,0.00793650793651,0.010582010582,0.169312169312,0.0,0.0026455026455,0.0,0.0,0.0026455026455,0.0026455026455,0.031746031746,0.0,1
Don't Stop the Music,Rihanna,4.10510510511,0.254742547425,0.0,0.0,0.0510510510511,0.105105105105,0.0,0.024024024024,0.003003003003,0.003003003003,0.003003003003,0.00900900900901,0.0,0.0,0.018018018018,0.0,0.003003003003,0.003003003003,0.003003003003,0.00600600600601,0.003003003003,0.0,0.018018018018,0.021021021021,0.00600600600601,0.0,0.00600600600601,0.0,0.0,0.024024024024,0.00900900900901,0.003003003003,0.003003003003,0.018018018018,1
FourFiveSeconds,Rihanna,4.11659192825,0.393442622951,0.0,0.0,0.152466367713,0.00896860986547,0.0,0.0179372197309,0.0358744394619,0.0,0.0,0.00896860986547,0.0,0.0224215246637,0.0,0.0,0.0179372197309,0.0,0.0,0.0134529147982,0.00448430493274,0.0,0.0,0.00896860986547,0.00448430493274,0.0,0.00448430493274,0.0224215246637,0.0,0.0,0.0,0.0,0.0,0.0,1
Hate That I Love You,Rihanna,3.20209059233,0.298611111111,0.0,0.0,0.188153310105,0.0487804878049,0.0557491289199,0.0348432055749,0.0,0.00348432055749,0.01393728223,0.0174216027875,0.0,0.0487804878049,0.00348432055749,0.0,0.0,0.00696864111498,0.00696864111498,0.0278745644599,0.0,0.00348432055749,0.00348432055749,0.0,0.0104529616725,0.0,0.0,0.00348432055749,0.0,0.00348432055749,0.0,0.00696864111498,0.0,0.00348432055749,1
