title,artist,average characters,uniqueness,num long words,I,n't,'m,'s,know,like,got,You,And,'re,get,love,na,nigga,yeah,But,ai,go,back,gon,want,time,bitch,wan,need,make,one,Yeah,way,let,popular
Castle On The Hill,Ed Sheeran,4.1652173913,0.466666666667,0.0,0.0,0.095652173913,0.0173913043478,0.0130434782609,0.0260869565217,0.00869565217391,0.0,0.00434782608696,0.0,0.0304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0173913043478,0.0,0.0130434782609,0.00869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0130434782609,0.0,0.0,0.0260869565217,0.0,1
Call Casting,Migos,4.32151300236,0.490759753593,0.0,0.0,0.0614657210402,0.00709219858156,0.00472813238771,0.0283687943262,0.00472813238771,0.00472813238771,0.0118203309693,0.0189125295508,0.0,0.0,0.0236406619385,0.0,0.0,0.0118203309693,0.00709219858156,0.0,0.00236406619385,0.0,0.00472813238771,0.0,0.0,0.00709219858156,0.0118203309693,0.0,0.0118203309693,0.0,0.00472813238771,0.00236406619385,0.0118203309693,0.0,1
Fresh Eyes,Andy Grammer,3.86301369863,0.295275590551,0.0,0.0,0.132420091324,0.027397260274,0.0365296803653,0.0456621004566,0.0,0.0182648401826,0.00913242009132,0.00913242009132,0.013698630137,0.00913242009132,0.0,0.027397260274,0.0,0.0,0.0182648401826,0.00456621004566,0.0,0.00456621004566,0.0,0.0,0.0,0.00456621004566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
That's What I Like,Bruno Mars,3.86928104575,0.332409972299,0.0,0.0,0.117647058824,0.00653594771242,0.00980392156863,0.0980392156863,0.0,0.078431372549,0.0130718954248,0.016339869281,0.00653594771242,0.0,0.00653594771242,0.0,0.00653594771242,0.0,0.0,0.0,0.00326797385621,0.00326797385621,0.0,0.0130718954248,0.0261437908497,0.00326797385621,0.0,0.0,0.0,0.00326797385621,0.0,0.0,0.0,0.00653594771242,1
No Heart,21 Savage & Metro Boomin,4.38795180723,0.409368635438,0.0,0.0,0.0746987951807,0.0120481927711,0.0192771084337,0.00722891566265,0.00722891566265,0.0144578313253,0.0120481927711,0.00481927710843,0.00481927710843,0.0,0.00722891566265,0.00481927710843,0.0,0.0457831325301,0.0,0.00240963855422,0.00481927710843,0.0,0.00481927710843,0.0,0.00240963855422,0.0,0.0144578313253,0.0,0.00240963855422,0.0,0.00481927710843,0.00240963855422,0.0,0.0,1
The Weekend,Brantley Gilbert,4.27149321267,0.420833333333,0.0,0.0,0.027149321267,0.0226244343891,0.0226244343891,0.0542986425339,0.0135746606335,0.027149321267,0.0,0.0,0.0135746606335,0.00904977375566,0.0135746606335,0.0,0.0,0.0,0.0,0.0,0.0180995475113,0.0,0.00452488687783,0.0,0.0,0.0180995475113,0.0,0.0,0.0,0.0,0.0,0.0,0.00452488687783,0.0135746606335,1
Gyalchester,Drake,3.77731092437,0.475655430712,0.0,0.0,0.117647058824,0.0168067226891,0.0378151260504,0.0294117647059,0.0168067226891,0.0210084033613,0.0210084033613,0.0,0.00420168067227,0.0,0.0252100840336,0.0,0.00840336134454,0.0126050420168,0.00420168067227,0.00420168067227,0.0,0.00840336134454,0.00840336134454,0.0,0.0126050420168,0.00420168067227,0.00420168067227,0.00840336134454,0.0,0.00420168067227,0.0126050420168,0.00840336134454,0.00420168067227,0.0,1
Broccoli,D.R.A.M.,4.05852417303,0.506976744186,0.0,0.0,0.129770992366,0.0178117048346,0.0432569974555,0.00254452926209,0.0127226463104,0.0152671755725,0.0127226463104,0.0,0.00254452926209,0.00254452926209,0.0127226463104,0.0,0.0,0.0152671755725,0.0,0.00254452926209,0.00508905852417,0.00254452926209,0.0,0.00254452926209,0.00508905852417,0.00254452926209,0.00763358778626,0.0,0.0,0.0,0.00254452926209,0.0,0.0,0.00254452926209,1
Glow,Drake,4.21052631579,0.529209621993,0.0,0.0,0.085020242915,0.0080971659919,0.0485829959514,0.0121457489879,0.00404858299595,0.00404858299595,0.0080971659919,0.0080971659919,0.00404858299595,0.0,0.00404858299595,0.0080971659919,0.00404858299595,0.00404858299595,0.0202429149798,0.0,0.0080971659919,0.0121457489879,0.0,0.0080971659919,0.0,0.0161943319838,0.0,0.00404858299595,0.00404858299595,0.0,0.0,0.0080971659919,0.0080971659919,0.00404858299595,1
Mercy,Shawn Mendes,4.22935779817,0.348547717842,0.0,0.0,0.105504587156,0.0229357798165,0.0642201834862,0.0,0.0045871559633,0.0,0.0183486238532,0.0183486238532,0.0183486238532,0.0045871559633,0.0,0.0,0.0,0.0,0.0,0.0045871559633,0.0,0.0045871559633,0.0,0.0,0.0,0.0,0.0,0.0,0.00917431192661,0.0,0.0,0.0,0.0,0.0,1
