Source (A),Source (B),Source (C),Source (D),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Right Now,Rihanna," Tomorrow way to far away And we can't get back yesterday But we young right now We got right now So get up right now Cause all we got is right now Tomorrow way to far away And we can't get back yesterday But we young right now We got right now So get up right now Cause all we got is right now  Baby tonight I need you And I feel it when I see you Wherever you wanna go Whenever baby I'm yours  Tomorrow way to far away And we can't get back yesterday But we young right now We got right now So get up right now Cause all we got is right now Tomorrow way to far away And we can't get back yesterday But we young right now We got right now So get up right now Cause all we got is right now Cause all we got is right now  So close I can taste you Ain't scared I can take you Can't fight the feeling Got me fiendin' You got me fiendin' Something you wanted to do all your life There's no more waiting tonight is the night And it can't be wrong not if it feels this right Turn it up scream it loud yeah  Tomorrow way to far away And we can't get back yesterday But we young right now We got right now So get up right now Cause all we got is right now Tomorrow way to far away And we can't get back yesterday But we young right now We got right now So get up right now Cause all we got is right now Cause all we got is right now",y,284,4.91,90.35,99.00,8.79,284.00,7.39,99.30,54.58,17.61,15.14,2.82,9.15,3.17,0.00,0.00,2.46,0.70,7.04,5.99,15.14,8.80,3.87,18.31,5.28,0.35,1.06,0.00,3.52,1.41,0.00,1.41,0.35,0.35,0.00,13.38,0.70,0.00,0.00,0.00,14.44,1.06,2.82,1.41,0.70,3.17,5.99,2.46,0.35,0.70,1.06,0.70,0.00,0.35,0.00,0.35,22.18,9.15,0.00,2.46,10.21,0.35,8.10,24.30,3.17,39.44,0.70,21.13,19.72,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.35,0.00,0.00,4.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.58,0.00,0.00
Rockstar 101,Rihanna," I told ya I told ya I told ya baby Uh, uh, I told ya baby I told ya baby Uh, uh, I told ya baby I told ya baby Uh, uh, I told ya bay  Got up in the club Posted in the back Feeling so good Looking so bad Rocking this skirt Rocking this club Got my middle finger up I don't really give a fuck Rocking these diamonds I'm rocking this chain Make sure you get a picture I'm rocking my fame  To be what you is You gotta be what you are The only thing I'm missing Is a black guitar  I'm a rockstar Hey baby, I'm a rockstar Hey baby Big cities Bright lights Sleep all day Long nights Baby, I'm a rockstar Hey baby I'm a rockstar Hey baby its Big cities And bright lights Sleep all day Long nights Baby I'm a Oh, baby I'm a Oh, baby I'm a Oh, baby I'm a Oh, baby I'm a Oh, baby I'm a Oh, baby I'm a Oh, baby I'm a Hey, hey, hey  Six inch walker Big shit talker I never play the victim Id rather be a stalker So baby take me in Ill disobey the law Make sure you frisk me good Check my panties and my bra Wildn out A crazy house With my white jacket on Won't you come And sign me out  To be what you is You gotta be what you are The only thing I'm missing Is a black guitar  I’m a rockstar Hey baby, I’m a rockstar Hey baby Big cities Bright lights Sleep all day Long nights Baby, I’m a rockstar Hey baby I’m a rockstar Hey baby its Big cities And bright lights Sleep all day Long nights Baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Hey, hey, hey  Heyyyyyyyyyyyyyyyyy I'm rocking out tonight Cause I can't wait till tomorrow I'm a live my whole life In the night Cause I ain't got time to borrow I'm rocking out tonight Why wait till tomorrow I'm a live my whole life In the night  I’m a rockstar Hey baby, I’m a rockstar Hey baby Big cities Bright lights Sleep all day Long nights Baby, I’m a rockstar Hey baby I’m a rockstar Hey baby its Big cities And bright lights Sleep all day Long nights Baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Oh, baby I’m a Hey, hey, hey",y,448,37.98,76.25,86.72,41.94,448.00,7.37,91.29,43.97,21.65,18.75,14.96,0.00,3.79,0.00,0.00,2.90,11.61,4.02,13.17,2.23,2.23,1.12,19.64,2.23,0.22,1.12,0.22,1.79,4.02,2.46,1.56,0.00,0.45,0.45,20.76,10.04,0.00,0.00,0.00,4.24,0.22,1.12,0.22,0.00,2.01,0.89,4.24,3.79,0.00,0.45,3.12,1.79,1.12,0.22,0.00,4.91,0.45,0.00,2.68,1.56,0.22,2.68,15.40,1.56,11.83,0.22,6.25,5.58,0.22,1.12,0.22,0.22,0.00,0.00,13.62,0.45,2.46,0.00,6.03,0.00,19.42,0.00,8.71,0.00,0.00,0.00,0.00,0.00,0.00,10.71,0.00,0.00
Rude Boy,Rihanna," Come here, rude boy, boy; can you get it up? Come here rude boy, boy; is you big enough? Take it, take it baby, baby Take it, take it; love me, love me  Come here, rude boy, boy; can you get it up? Come here rude boy, boy; is you big enough? Take it, take it baby, baby Take it, take it; love me, love me Tonight I'mma let you be the captain Tonight I'mma let you do your thing, yeah Tonight I'mma let you be a rider Giddy-up, giddy-up, giddy-up babe Tonight I'mma let it be fire Tonight I'mma let you take me higher Tonight, baby, we could get it on, yeah, we could get it on, yeah Do you like it? Boy, I want, want, want whatchu want, want, want Give it to me, baby like boom, boom, boom What I want, want, want is what you want, want, want Nah nah-ah  Come here, rude boy, boy, can you get it up? Come here, rude boy, boy, is you big enough? Take it, take it, baby, baby, take it, take it, love me, love me  Come here, rude boy, boy, can you get it up? Come here, rude boy, boy, is you big enough? Take it, take it, baby, baby, take it, take it, love me, love me Tonight I'mma give it to ya harder Tonight I'mma turn ya body out Relax; let me do it how I wanna If you got it I need it and I'mma put it down Buckle up; I'mma give it to ya stronger Hands up; we could go a little longer Tonight I'mma get a little crazy, get a little crazy, baby Like it? Boy, I want, want, want whatchu want, want, want Give it to me, baby like boom, boom, boom What I want, want, want is what you want, want, want Nah nah-ah  Come here, rude boy, boy can you get it up? Come here rude boy, boy is your big enough? Take it, take it, baby, baby, take it, take it, love me, love me  Come here, rude boy, boy can you get it up? Come here rude boy, boy is your big enough? Take it, take it, baby, baby, take it, take it, love me, love me I like the way you touch me there I like the way you pull my hair Babe, if I don't feel it I ain't faking, no, no I like when you tell me 'kiss you there' I like when you tell me 'move it there' So giddy-up; time to get it up: you say you a rude boy: show me what you got now Come here right now Take it, take it, baby, baby, take it, take it, love me, love me  Come here, rude boy, boy, can you get it up? Come here, rude boy, boy, is you big enough? Take it, take it, baby, baby, take it, take it, love me, love me  Come here, rude boy, boy, can you get it up? Come here, rude boy, boy, is you big enough? Take it, take it, baby, baby, take it, take it, love me, love me",y,534,15.29,98.16,17.34,50.22,28.11,2.62,96.25,46.82,26.97,14.61,7.30,0.56,6.74,0.00,0.00,12.36,1.50,5.06,6.74,4.87,1.31,1.50,25.84,5.81,1.31,1.50,0.00,0.00,8.43,4.87,3.56,0.00,3.18,0.00,23.03,4.12,0.37,0.00,6.55,6.37,0.19,0.19,5.81,0.37,0.00,0.56,2.43,0.19,1.31,0.94,3.75,0.37,0.00,0.00,0.00,18.91,4.12,0.00,5.06,9.74,0.00,0.37,25.28,3.75,13.11,3.93,6.55,2.62,0.00,0.19,0.00,0.00,0.00,0.00,2.43,0.00,1.31,0.94,0.37,0.00,34.08,0.00,24.34,0.37,1.87,3.37,0.00,1.12,0.00,3.00,0.00,0.00
Russian Roulette,Rihanna," Take a breath, take it deep Calm yourself, he says to me If you play, you play for keeps Take the gun and count to three I’m sweating now, moving slow No time to think, my turn to go  And you can see my heart beating You can see it through my chest Said I’m terrified but I’m not leaving I know that I must pass this test So just pull the trigger   Say a prayer to yourself He says close your eyes Sometimes it helps And then I get a scary thought That he’s here, means he’s never lost   As my life flashes before my eyes I’m wondering will I, ever see another sunrise? So many won’t get the chance to say goodbye But it’s too late to think of the value of my life ",y,136,14.53,55.84,84.96,53.41,68.00,11.03,97.79,55.88,25.00,19.12,11.03,0.00,5.15,2.94,0.00,5.88,5.15,9.56,8.82,5.88,7.35,2.94,29.41,5.88,1.47,0.00,0.74,1.47,5.88,3.68,2.21,1.47,0.00,0.74,13.24,0.00,0.00,0.00,2.94,11.76,4.41,0.74,1.47,2.94,2.21,2.94,7.35,3.68,3.68,0.00,5.88,4.41,1.47,0.00,0.00,5.88,0.74,0.74,0.74,3.68,0.00,1.47,22.79,2.94,13.24,5.15,1.47,7.35,0.74,1.47,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,5.15,0.00,0.00,0.74,0.00,0.00,0.00,5.88,0.00,0.00
S.O.S. (Rescue Me),Rihanna,"Lala lala lala lala, oh You know, I never felt like this before Lala lala lala lala, oh Just feels like somethin' real I'm obsessive when just one thought of you comes up And I'm aggressive just one thought of closing up You got me stressing, incessantly pressing the issue 'Cause every moment gone you know I miss you I'm the question and you're, of course, the answer Just hold me close boy 'cause I'm your tiny dancer You make me shaken up, never mistaken But I can't control myself, got me calling out for help SOS please someone help me It's not healthy for me to feel this way Y-O-U are making this hard I can't take it, see it don't feel right SOS please someone help me It's not healthy for me to feel this way Y-O-U are making this hard You got me tossin' and turnin', can't sleep at night This time please someone come and rescue me 'Cause you on my mind, it's got me losing it I'm lost, you got me lookin' for the rest of me Love is testing me but still I'm losing it This time please someone come and rescue me 'Cause you on my mind, it's got me losing it I'm lost, you got me looking for the rest of me Got the best of me, so now I'm losing it Just your presence and I second guess my sanity Yes it's a lesson, it's unfair, you stole my vanity My tummy's up in knots so when I see you, I get so hot My common sense is out the door, can't seem to find the lock Take on me  you know inside you feel it right Take me on, I could just die up in your arms tonight I'm out with you, you got me head over heels Boy you keep me hanging on the way you make me feel SOS please someone help me It's not healthy for me to feel this way Y-O-U are making  this hard You got me tossin' and turnin', can't sleep at night This time please someone come and rescue me 'Cause you on my mind, it's got me losing it  I'm lost, you got me lookin' for the rest of me Love is testing me but still I'm losing it This time please someone come and rescue me  'Cause you on my mind, got me losing it I'm lost, you got me looking for the rest of me Got the best of me, so now I'm losing it Boy, you know you got me feeling open And boy, your love's enough with words unspoken I said boy, I'm telling you, you got me open I don't know what to do, it's true I'm going crazy over you, I'm begging SOS please somebody help me, yeah It's not healthy for me to feel this way Y-O-U are making this hard  You got me tossin' and turnin', can't sleep at night This time please someone come and rescue me  'Cause you on my mind, it's got me losing it I'm lost, you got me lookin' for the rest of me Love is testing me, but still I'm losing it This time please someone come and rescue me 'Cause you on my mind got me losing it  I'm lost, you got me looking for the rest of me Got the best of me , so now I'm losing it Lala lala lala lala, oh Ohh ohh lala lala lala lala Oh oh oh",y,594,12.85,42.00,98.11,12.41,594.00,6.73,89.06,54.38,31.65,22.90,15.66,0.00,7.24,0.00,0.00,8.75,2.69,9.93,7.41,3.54,4.04,2.36,23.74,3.20,1.01,0.51,0.51,0.17,8.08,3.54,4.55,0.51,0.17,3.20,11.11,0.00,0.00,0.00,0.84,11.62,3.87,2.53,0.34,2.19,0.67,2.36,3.87,0.84,0.17,2.69,1.52,1.01,0.00,0.00,0.00,11.28,1.35,3.54,3.03,5.22,2.02,5.56,14.81,0.34,11.95,1.85,6.23,3.70,0.84,0.34,0.17,0.17,0.00,0.17,3.03,0.00,1.35,0.34,1.35,0.00,18.35,0.00,6.90,0.00,0.00,0.00,0.00,1.35,0.00,10.10,0.00,0.00
Sex With Me,Rihanna," Sex with me, so amazing All this all hard work, no vacation Stay up off my Instagram, pure temptation Hit a switch on a fake nigga, like a station Sex with me, so amazing Sex with me, so amazing  Vodka and water, and a lemon And a few other things I can not mention Oh-na-na-na-na Five fingers on it  Hit it like you own it, I’mma hit it like I’m on it Straight shots of the blue dot  Baby, I’mma pick your poison Oh-we, ah-yeah, you gon’ need it I’m off that la-la I’mma get it wet like jacuzzi, ah-yea  And sex with me, so amazing All this all hard work, no vacation Stay up off my Instagram, pure temptation Sex with me, sex with me, sex with me So amazing, so amazing, mmmm  You know I got the sauce , you know I’m saucy And it’s always wet, a bitch never ever had to use lip gloss on it I’mma need you deeper than six, it's not a coffin We’re not making love, tryna get nasty Wrap up your drugs, come make me happy Sex with me is amazing, with her it’ll feel alright The sex doesn’t get any better, make it long, let it be all night I know, I know, I make it hard to let go Tonight, all night, I’m Monroe Even if I’m alone  Sex with me, so amazing All this all hard work, no vacation Stay up off my Instagram, pure temptation Hit a switch on a fake nigga, like stations Sex with me, sex with me, sex with me So amazing, so amazing, mmmm  Sex with me, so amazing Sex with me so amazing ",y,288,45.11,24.36,55.79,86.13,288.00,10.07,92.36,48.96,20.14,13.19,9.72,0.69,2.43,0.35,0.00,6.94,4.17,12.85,5.56,4.86,5.90,2.78,14.58,9.03,2.78,0.00,0.69,3.47,7.64,5.56,2.08,0.00,1.04,0.35,5.56,0.35,0.00,0.35,0.00,12.15,1.74,2.08,1.04,1.04,4.86,2.08,3.12,0.35,0.00,2.78,7.99,0.69,0.69,5.21,1.04,6.25,2.08,1.39,1.39,1.74,0.00,0.69,12.50,2.43,9.72,2.08,6.60,2.08,1.04,2.43,0.00,0.00,0.00,0.35,4.86,1.04,1.04,1.74,2.08,0.00,21.88,0.00,13.89,0.00,0.00,0.00,0.00,2.78,0.00,5.21,0.00,0.00
Shut Up And Drive,Rihanna," I've been lookin' for a driver who is qualified So if you think that you're the one, step into my ride I'm a fine-tuned supersonic speed machine With a sunroof top and a gangsta lean  So if you feel me, let me know, know, know Come on now, what you waitin' for, for, for My engine's ready to explode, explode, explode So start me up and watch me go, go, go, go  Get you where you wanna go, if you know what I mean Got a ride that's smoother than a limousine Can you handle the curves? Can you run all the lights? If you can, baby boy, then we can go all night ‘Cause I'm 0 to 60 in three point five Baby, you got the keys Now shut up and drive  Shut up and drive   I've got class like a '57 Cadillac Got overdrive with a whole lot of boom in the back You look like you can handle what's under my hood You keep saying that you will, boy, I wish you would  So if you feel me let me know, know, know Come on now what you waiting for, for, for My engine's ready to explode, explode, explode So start me up and watch me go, go, go, go  Got you where you wanna go if you know what I mean Got a ride that smoother than a limosine Can you handle the curves? Can you run all the lights? If you can baby boy then we can go all night Cos I'm 0 to 60 in three point five Baby you got the keys- Now shut up and drive  Shut up and drive  ‘Cause your Maybach Ain't got what I got  Don't stop It's a sure shot And your Ferrari Huh boy, I'm sorry I ain't even worried So step inside and ride   So if you feel me let me know, know, know Come on now what you waiting for, for, for My engine's ready to explode, explode, explode So start me up and watch me go, go, go, go  Got you where you wanna go if you know what I mean Got a ride that smoother than a limosine Can you handle the curves? Can you run all the lights? If you can baby boy then we can go all night Cos I'm 0 to 60 in three point five Baby you got the keys- Now shut up and drive  Shut up and drive  Now shut up and drive  Shut up and drive ",y,420,32.98,84.71,98.74,38.47,60.00,7.14,88.81,54.29,20.00,16.43,7.14,0.71,8.57,0.00,0.00,3.57,5.71,10.71,8.81,4.76,8.81,0.71,22.38,4.76,1.43,2.86,3.33,1.90,1.67,1.19,0.48,0.24,0.00,0.24,12.38,1.43,0.00,0.00,1.19,12.14,4.52,0.95,3.57,2.62,1.67,3.57,3.57,1.67,0.48,1.43,0.00,0.00,0.00,0.00,0.00,7.14,0.71,0.24,3.10,3.10,0.24,3.10,20.71,1.90,22.86,9.29,8.81,5.00,0.48,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.24,0.00,0.24,0.00,16.19,0.00,8.81,0.00,0.00,1.43,0.00,0.71,0.48,4.76,0.00,0.00
Stay,Rihanna," All along it was a fever A cold sweat, hot-headed believer I threw my hands in the air, said show me something He said, ""If you dare come a little closer Round and around and around and around we go Oh now tell me now tell me now tell me now you know""  Not really sure how to feel about it Something in the way you move Makes me feel like I can't live without you And it takes me all the way I want you to stay  It's not much of a life you're living It's not just something you take, it's given Round and around and around and around we go Oh now tell me now tell me now tell me now you know  Not really sure how to feel about it Something in the way you move Makes me feel like I can't live without you And it takes me all the way I want you to stay  The reason I hold on Cause I need this hole gone Funny you're the broken one But I'm the only one who needed saving Cause when you never see the light It's hard to know which one of us is caving  Not really sure how to feel about it Something in the way you move Makes me feel like I can't live without you And it takes me all the way I want you to stay Stay I want you to stay Ooh",y,245,17.71,45.14,99.00,56.61,245.00,3.67,98.37,61.22,26.53,18.78,10.20,1.22,6.94,0.41,0.00,7.76,6.12,12.65,3.67,11.02,6.12,4.90,23.67,3.27,1.63,2.45,1.22,2.04,1.63,1.63,0.00,0.00,0.00,0.00,12.24,0.00,0.00,0.00,0.41,21.63,4.08,3.67,2.86,2.45,3.27,6.53,6.94,2.04,0.82,4.90,3.27,0.82,2.45,0.00,0.00,3.27,1.22,0.00,0.00,2.04,0.00,2.86,24.90,0.00,18.37,5.71,10.61,4.08,0.00,0.00,0.00,0.41,0.00,0.00,0.82,0.00,0.00,0.00,0.82,0.00,6.94,0.00,1.63,0.00,0.00,0.00,0.00,0.41,0.82,4.08,0.00,0.00
Take A Bow,Rihanna," Oh, How about a round of applause A standing ovation Oh, yeah, yeah, yeah, yeah, yeah  You look so dumb right now Standing outside my house Trying to apologize You're so ugly when you cry Please, just cut it out  Don't tell me you're sorry cause you're not Baby when I know you're only sorry you got caught But you put on quite a show Really had me going But now it's time to go Curtain's finally closing That was quite a show Very entertaining But it's over now  Go on and take a bow  Grab your clothes and get gone  You better hurry up Before the sprinklers come on  Talking' bout' Girl, I love you, you're the one This just looks like a re-run Please, what else is on   Don't tell me you're sorry cause you're not Baby when I know you're only sorry you got caught But you put on quite a show Really had me going But now it's time to go Curtain's finally closing That was quite a show Very entertaining But it's over now  Go on and take a bow  Oh, And the award for The best liar goes to you  For making me believe  That you could be faithful to me Let's hear your speech, Oh How about a round of applause A standing ovation But you put on quite a show Really had me going Now it's time to go Curtain's finally closing That was quite a show Very entertaining But it's over now  Go on and take a bow But it's over now",y,262,22.85,81.00,96.71,32.32,262.00,9.92,95.04,56.87,17.94,12.60,4.20,0.38,8.02,0.00,0.00,5.34,6.87,11.07,9.92,11.45,8.02,1.53,24.43,4.20,1.53,2.29,0.38,0.00,7.25,3.82,3.44,0.00,1.15,1.91,12.21,0.76,0.00,0.38,0.00,11.83,1.15,1.91,0.38,2.67,0.00,5.73,4.96,3.82,0.76,1.15,0.76,0.38,0.00,0.00,0.00,6.87,0.76,1.53,2.67,3.44,0.00,4.20,18.70,1.15,21.37,8.02,6.11,7.25,0.38,1.15,1.53,0.00,0.38,0.00,3.82,0.38,0.00,1.91,1.53,0.00,13.74,0.00,4.58,0.00,0.00,0.00,0.00,0.38,0.00,8.78,0.00,0.00
Talk That Talk,Rihanna," Talk that talk to me, yeah Talk that talk to me, yeah  I be trying to chill, bitches wanna fuck me Every little city I go - fuck me! Shawty must’ve heard, got the word, I move that D Had it by a bladder, she like “oh I gotta pee” Ran into a Rothko in my restroom Singer slash actress in my bedroom Gotta have a ticket for a walk through Everything that do is big I talk big money, I talk big homes I sell out arenas, I call that getting dome Million dollar voice, came through phone We heading to the top, if you coming, come on I’m Flying out to Pisa, just to get some pizza Fly down to Jamaica, just to roll some reefa Sex on the beach, left love speechless They say that money talk, tell these other niggas speak up What’s up  1 and 2 and a 3 and 4 Come on let me know if you want some more You know what I like, now get it right Boy talk that talk to me all night Yeah boy I like it yeah boy I like it Love it when you talk that talk to me yeah Yeah that talk to me yeah Love it when you talk that talk to me, yeah  Say what you want, say what you like Say you want me to do and I got you Tell me how to love you, tell me how to hold you I’m-a get it right on the first try for you Cause you ain’t never had a woman like me And you will never have another like me No, so I’mma give it to you baby  1 and 2 and a 3 and 4 Come on let me know if you want some more You know what I like, now get it right Boy talk that talk to me all night Yeah boy I like it yeah boy I like it Love it when you talk that talk to me yeah Yeah that talk to me yeah Love it when you talk that talk to me, yeah  What you saying now, give it to me baby I want it all night, give it to me baby What you saying now, give it to me baby Give it to me baby, give it to me baby What you saying now, give it to me baby I want it all night, give it to me baby What you saying now, give it to me baby Give it to me baby, give it to me baby  1 and 2 and a 3 and 4 Come on let me know if you want some more You know what I like, now get it right Boy talk that talk to me all night Yeah boy I like it yeah boy I like it Love it when you talk that talk to me yeah Yeah that talk to me yeah Love it when you talk that talk to me, yeah Talk that talk to me, yeah Talk talk that talk to me, yeah Talk that talk to me, yeah Talk talk that talk to me, yeah",y,528,28.15,92.48,62.53,77.95,264.00,2.84,95.08,53.41,29.92,17.42,11.74,0.19,5.11,0.19,0.19,12.50,2.46,11.36,3.41,3.79,4.55,0.76,17.42,1.33,1.33,3.41,2.65,2.84,3.98,3.41,0.57,0.00,0.57,0.00,23.48,2.08,0.00,0.38,1.70,7.58,1.14,0.57,2.27,2.08,1.89,1.14,2.46,0.00,2.46,0.00,2.65,0.38,0.00,0.57,0.19,5.11,1.70,0.76,1.33,1.52,0.00,1.70,21.40,1.33,11.36,2.65,4.73,3.98,0.00,0.57,0.38,0.76,0.00,0.00,6.06,0.76,0.38,4.55,0.19,0.00,8.90,0.00,6.82,0.00,0.00,0.00,0.19,0.38,0.38,1.14,0.00,0.00
Umbrella,Rihanna," No clouds in my stones Let it rain, I hydroplane in the bank Coming down with the Dow Jones When the clouds come, we gone We Roc-A-Fella We fly higher than weather And G5's are better You know me In anticipation for precipitation Stack chips for the rainy day Jay—Rain Man is back With little Ms. Sunshine Rihanna, where you at?  You have my heart And we'll never be worlds apart May be in magazines But you'll still be my star Baby, ‘cause in the dark You can't see shiny cars And that's when you need me there With you I'll always share Because  When the sun shine, we shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'mma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella  Under my umbrella   These fancy things Will never come in between You're part of my entity Here for infinity When the war has took its part When the world has dealt its cards If the hand is hard Together we'll mend your heart Because  When the sun shine, we shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'mma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella  Under my umbrella   You can run into my arms It's okay; don't be alarmed Come into me There's no distance in between our love So go on and let the rain pour I'll be all you need and more Because  When the sun shine, we shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'mma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella  Under my umbrella   It's rainin', rainin' Ooh, baby, it's rainin', rainin' Baby, come here to me Come into me It's rainin', rainin' Ooh, baby, it's rainin', rainin' You can always come into me Come into me It's pourin' rain It's pourin' rain Come here to me Come into me ...",y,405,13.72,86.14,97.30,38.98,202.50,8.40,83.95,58.52,23.70,16.79,7.90,2.96,5.93,0.00,0.00,6.91,4.69,11.36,14.81,7.41,4.44,1.48,20.49,2.96,2.47,1.98,0.25,2.47,1.73,1.23,0.49,0.25,0.25,0.00,14.07,0.99,0.74,0.00,0.49,8.89,0.99,0.99,0.74,0.49,3.46,2.72,3.70,2.47,0.74,0.49,1.23,0.99,0.00,0.00,0.00,9.63,5.19,0.25,2.96,1.23,0.25,2.72,16.05,5.19,21.73,3.46,9.63,8.89,0.25,0.49,0.00,0.25,0.00,0.25,0.25,0.00,0.00,0.25,0.00,0.00,17.53,0.99,4.69,0.00,0.25,0.25,0.00,0.49,0.25,10.62,0.00,0.00
Unfaithful,Rihanna," Story of my life Searching for the right, but it keeps avoiding me Sorrow in my soul cause it seems that wrong Really loves my company He's more than a man, and this is more than love The reason that the sky is blue The clouds are rolling in, because I'm gone again And to him I just can't be true  And I know that he knows I'm unfaithful And it kills him inside To know that I am happy with some other guy I can see him dying  I don't wanna do this anymore I don't wanna be the reason why Everytime I walk out the door I see him die a little more inside I don't wanna hurt him anymore I don't wanna take away his life I don't wanna be a murderer  I feel it in the air as I'm doing my hair Preparing for another date A kiss upon my cheek As he reluctantly asks if I'm gonna be out late I say I won't be long, just hanging with the girls A lie I didn't have to tell Because we both know where I'm about to go And we know it very well  And I know that he knows I'm unfaithful And it kills him inside To know that I am happy with some other guy I can see him dying  I don't wanna do this anymore I don't wanna be the reason why Everytime I walk out the door I see him die a little more inside I don't wanna hurt him anymore I don't wanna take away his life I don't wanna be a murderer  Our love, his trust I might as well take a gun and put it to his head Get it over with I don't wanna do this anymore, woah Anymore  I don't wanna do this anymore I don't wanna be the reason why Everytime I walk out the door I see him die a little more inside I don't wanna hurt him anymore I don't wanna take away his life I don't wanna be a murderer",y,347,5.01,16.35,68.66,17.41,347.00,7.49,98.27,68.59,28.53,19.88,13.26,0.86,0.00,5.76,0.00,8.65,6.34,10.37,18.44,3.46,4.32,5.48,23.05,4.61,2.88,1.15,0.00,2.59,6.34,2.88,3.46,0.58,1.44,1.15,10.66,0.00,0.86,0.29,6.63,14.99,4.03,2.88,4.90,1.44,1.15,2.59,3.46,2.02,0.29,1.15,2.59,0.58,1.15,0.00,0.00,4.90,2.02,0.00,0.29,1.44,1.15,0.58,22.48,5.76,14.70,2.31,8.36,4.03,0.29,0.29,0.86,0.00,0.29,2.88,5.76,0.00,0.29,0.00,0.58,0.29,9.22,0.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00,7.49,0.00,0.00
We Found Love,Rihanna,"  Yellow diamonds in the light And we're standing side by side As your shadow crosses mine What it takes to come alive It's the way I'm feeling I just can't deny But I've gotta let it go  We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place  Shine a light through an open door Love and life I will divide Turn away cause I need you more Feel the heart beat in my mind It's the way I'm feeling I just can't deny But I've gotta let it go  We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place  Yellow diamonds in the light And we're standing side by side As your shadow crosses mine What it takes to come alive  We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place  We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place",y,213,87.06,97.53,99.00,33.88,213.00,11.74,96.24,47.89,18.78,15.02,5.16,8.45,1.41,0.00,0.00,3.76,10.80,12.68,4.23,0.94,3.29,0.94,20.19,2.35,1.41,0.94,0.00,0.47,15.49,7.98,7.51,0.00,0.00,7.51,17.84,0.00,0.00,0.00,0.00,11.74,8.92,0.47,0.47,0.00,0.00,1.88,5.16,3.76,0.00,1.41,9.86,0.47,1.41,0.00,0.00,26.29,16.43,0.47,8.92,0.94,0.00,7.51,10.33,1.41,23.00,2.35,20.66,0.00,0.00,0.00,0.47,0.00,0.00,0.94,0.94,0.00,0.94,0.00,0.00,0.00,4.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.69,0.00,0.00
