title,artist,average characters,uniqueness,num long words,I,And,n't,'s,'m,know,na,get,Oh,go,'re,'ll,oh,gon,So,see,But,You,When,come,love,la,heart,sky,...,say,'ve,It,feel,world,popular
Viva La Vida,Coldplay,4.58291457286,0.536585365854,0.0,0.0,0.0954773869347,0.0100502512563,0.0301507537688,0.00502512562814,0.0,0.0100502512563,0.0,0.0,0.00502512562814,0.00502512562814,0.0,0.0,0.0,0.0,0.0,0.0,0.0100502512563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00502512562814,0.00502512562814,0.0201005025126,1
Yellow,Coldplay,3.97272727273,0.409836065574,0.0,0.0,0.1,0.0636363636364,0.0,0.00909090909091,0.0,0.0363636363636,0.0,0.0,0.0272727272727,0.0,0.0,0.0,0.0181818181818,0.0,0.00909090909091,0.0,0.0,0.00909090909091,0.0,0.0,0.0181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909091,0.0,0.0,1
42,Coldplay,4.30927835052,0.34,0.0,0.0,0.0618556701031,0.0412371134021,0.020618556701,0.0,0.020618556701,0.0,0.0,0.0412371134021,0.0103092783505,0.0,0.0309278350515,0.0,0.0,0.0,0.0,0.0,0.0,0.0824742268041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A Head Full Of Dreams,Coldplay,4.09734513274,0.475409836066,0.0,0.0,0.0973451327434,0.0265486725664,0.0176991150442,0.0176991150442,0.00884955752212,0.00884955752212,0.0,0.0176991150442,0.0265486725664,0.0,0.0,0.0,0.0,0.0,0.0,0.00884955752212,0.0,0.00884955752212,0.0353982300885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176991150442,0.0,0.0,0.00884955752212,0
A Message,Coldplay,3.33793103448,0.364238410596,0.0,0.0,0.11724137931,0.0689655172414,0.048275862069,0.0137931034483,0.0827586206897,0.0,0.048275862069,0.0206896551724,0.0,0.00689655172414,0.0137931034483,0.0,0.0,0.048275862069,0.0,0.00689655172414,0.00689655172414,0.048275862069,0.0,0.00689655172414,0.0413793103448,0.0,0.00689655172414,0.0,0.0,0.0206896551724,0.00689655172414,0.0,0.0,0.0,0
A Rush Of Blood To The Head,Coldplay,3.78723404255,0.361788617886,0.0,0.0,0.0808510638298,0.0255319148936,0.0,0.0127659574468,0.0425531914894,0.00851063829787,0.0425531914894,0.0,0.0170212765957,0.0255319148936,0.0,0.0,0.00425531914894,0.0425531914894,0.00851063829787,0.0127659574468,0.00425531914894,0.0,0.00425531914894,0.0,0.0,0.0,0.00425531914894,0.0,0.0,0.0,0.00851063829787,0.0,0.0,0.0,0
Always In My Head,Coldplay,3.67164179104,0.558823529412,0.0,0.0,0.119402985075,0.0149253731343,0.044776119403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089552238806,0.0,0.0,0.0,0.0149253731343,0.0,0.0298507462687,0.0597014925373,0.0,0.0,0.0,0.0,0.0149253731343,0.0,0.0,0.0,0.0,0.0149253731343,0.0,0.0,0
Amazing Day,Coldplay,4.61206896552,0.525179856115,0.0,0.0,0.051724137931,0.0344827586207,0.0,0.0,0.00862068965517,0.0,0.0172413793103,0.0,0.00862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00862068965517,0.00862068965517,0.0,0.00862068965517,0.00862068965517,0
Amsterdam,Coldplay,4.14406779661,0.516129032258,0.0,0.0,0.0677966101695,0.0508474576271,0.0,0.0169491525424,0.0,0.00847457627119,0.0,0.00847457627119,0.0,0.0,0.0,0.0,0.0169491525424,0.0,0.0,0.00847457627119,0.0338983050847,0.0254237288136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627119,0.0,0.0169491525424,0.0,0.0,0
Another's Arms,Coldplay,4.51851851852,0.290909090909,0.0,0.0,0.0,0.00925925925926,0.0,0.157407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185185185185,0
