title,artist,NN,NNP,DT,IN,JJ,NNS,CC,PRP,VB,VBG,I,n't,'m,'s,know,like,got,You,And,'re,love,get,na,yeah,But,ai,back,gon,go,wan,want,need,Yeah,time,let,oh,make,way,right,see,average characters,uniqueness,average words,num long words,popular
Can't Stop The Feeling!,Justin Timberlake,88.0,22.0,4.0,1.0,27.0,10.0,8.0,33.0,26.0,22.0,0.089552238806,0.0716417910448,0.0089552238806,0.0119402985075,0.00597014925373,0.0,0.0089552238806,0.0,0.0149253731343,0.00298507462687,0.0,0.0,0.00298507462687,0.0,0.0089552238806,0.0089552238806,0.0,0.0,0.0,0.0,0.0,0.00597014925373,0.0,0.0,0.0,0.0,0.0,0.00597014925373,0.0,0.0119402985075,4.14328358209,0.220297029703,484.0,0.214925373134,y
X,21 Savage & Metro Boomin,96.0,56.0,1.0,5.0,49.0,14.0,4.0,31.0,11.0,0.0,0.0797872340426,0.0239361702128,0.0452127659574,0.0,0.00265957446809,0.00797872340426,0.0186170212766,0.0,0.0106382978723,0.0,0.00797872340426,0.00265957446809,0.00265957446809,0.0,0.0,0.00531914893617,0.00797872340426,0.00797872340426,0.0,0.00265957446809,0.0,0.0,0.0,0.0,0.00531914893617,0.0,0.00531914893617,0.0,0.00265957446809,0.0,4.46276595745,0.348387096774,293.5,0.265957446809,y
Castle On The Hill,Ed Sheeran,44.0,11.0,1.0,0.0,19.0,18.0,11.0,27.0,10.0,9.0,0.095652173913,0.0173913043478,0.0130434782609,0.0260869565217,0.00869565217391,0.0,0.00434782608696,0.0,0.0304347826087,0.0,0.0,0.0,0.0,0.0,0.0173913043478,0.0,0.00869565217391,0.0,0.0130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.00434782608696,0.0130434782609,0.0260869565217,0.00434782608696,0.0,4.1652173913,0.466666666667,344.0,0.265217391304,y
Call Casting,Migos,99.0,84.0,4.0,6.0,37.0,17.0,0.0,47.0,13.0,1.0,0.0614657210402,0.00709219858156,0.00472813238771,0.0283687943262,0.00472813238771,0.00472813238771,0.0118203309693,0.0189125295508,0.0,0.0,0.0,0.0236406619385,0.0,0.00709219858156,0.0,0.00236406619385,0.00472813238771,0.0,0.0,0.0,0.0,0.0118203309693,0.00236406619385,0.00709219858156,0.0,0.0,0.0,0.0118203309693,0.0,0.0,4.32151300236,0.490759753593,100.0,0.25768321513,y
Fresh Eyes,Andy Grammer,26.0,7.0,0.0,11.0,35.0,13.0,4.0,34.0,13.0,0.0,0.132420091324,0.027397260274,0.0365296803653,0.0456621004566,0.0,0.0182648401826,0.00913242009132,0.00913242009132,0.013698630137,0.00913242009132,0.027397260274,0.0,0.0,0.0182648401826,0.00456621004566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00456621004566,0.0,0.0,0.0,0.0,0.0,0.027397260274,3.86301369863,0.295275590551,98.3333333333,0.173515981735,y
That's What I Like,Bruno Mars,43.0,54.0,1.0,6.0,18.0,9.0,2.0,42.0,15.0,6.0,0.117647058824,0.00653594771242,0.00980392156863,0.0980392156863,0.0,0.078431372549,0.0130718954248,0.016339869281,0.00653594771242,0.0,0.0,0.00653594771242,0.00653594771242,0.0,0.0,0.00326797385621,0.0,0.0130718954248,0.00326797385621,0.0,0.0261437908497,0.0,0.0,0.00326797385621,0.00653594771242,0.0,0.00326797385621,0.0,0.0,0.0,3.86928104575,0.332409972299,124.5,0.176470588235,y
No Heart,21 Savage & Metro Boomin,101.0,59.0,1.0,10.0,44.0,21.0,4.0,38.0,7.0,2.0,0.0746987951807,0.0120481927711,0.0192771084337,0.00722891566265,0.00722891566265,0.0144578313253,0.0120481927711,0.00481927710843,0.00481927710843,0.0,0.00481927710843,0.00722891566265,0.0,0.0,0.00240963855422,0.00481927710843,0.00481927710843,0.0,0.0,0.0,0.00240963855422,0.00240963855422,0.00240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38795180723,0.409368635438,42.7142857143,0.29156626506,y
The Weekend,Brantley Gilbert,66.0,41.0,1.0,6.0,16.0,9.0,3.0,14.0,4.0,6.0,0.027149321267,0.0226244343891,0.0226244343891,0.0542986425339,0.0135746606335,0.027149321267,0.0,0.0,0.0135746606335,0.00904977375566,0.0,0.0135746606335,0.0,0.0,0.0,0.0180995475113,0.00452488687783,0.0,0.0,0.0,0.0,0.0,0.0,0.0180995475113,0.0135746606335,0.0,0.0,0.00452488687783,0.00452488687783,0.0,4.27149321267,0.420833333333,354.0,0.239819004525,y
Gyalchester,Drake,40.0,32.0,3.0,10.0,28.0,2.0,2.0,33.0,9.0,1.0,0.117647058824,0.0168067226891,0.0378151260504,0.0294117647059,0.0168067226891,0.0210084033613,0.0210084033613,0.0,0.00420168067227,0.0,0.0,0.0252100840336,0.00840336134454,0.00420168067227,0.00420168067227,0.0,0.00840336134454,0.0,0.00840336134454,0.00840336134454,0.0126050420168,0.0,0.00840336134454,0.00420168067227,0.0,0.0,0.00420168067227,0.00420168067227,0.00840336134454,0.00420168067227,3.77731092437,0.475655430712,110.333333333,0.172268907563,y
Broccoli,D.R.A.M.,82.0,41.0,2.0,18.0,50.0,21.0,3.0,54.0,10.0,2.0,0.129770992366,0.0178117048346,0.0432569974555,0.00254452926209,0.0127226463104,0.0152671755725,0.0127226463104,0.0,0.00254452926209,0.00254452926209,0.0,0.0127226463104,0.0,0.0,0.00254452926209,0.00508905852417,0.0,0.00254452926209,0.00254452926209,0.0,0.00508905852417,0.0,0.0,0.0,0.00254452926209,0.0,0.0,0.0,0.0,0.0,4.05852417303,0.506976744186,282.5,0.211195928753,y
